titulo,subtitulo,texto,data,url,portal,vies_politico,justificativa_llm
"Caso Master: CPI do Crime convoca Vorcaro, Campos Neto e Paulo Guedes",Pedidos dizem que desregulação do mercado teria favorecido fraudes financeiras.,"Entre dezenas de requerimentos aprovados nesta quarta-feira (25) na Comissão Parlamentar de Inquérito (CPI) do Crime Organizado no Senado, estão os que determinam a convocação do dono do Banco Master, Daniel Vorcaro, do ex-presidente do Banco Central (BC), Roberto Campos Neto, e do ministro da Fazenda do governo de Jair Bolsonaro, Paulo Guedes.

Quando uma pessoa é convocada, a ida à CPI não é opcional, podendo a Comissão pedir a condução coercitiva da testemunha ou do investigado em caso de ausência.

Ainda na sessão desta quarta-feira, a CPI quebrou os sigilos fiscais e bancário do Banco Master e de sócios de Vorcaro, incluindo a convocação de outros dirigentes do banco investigado por fraudes calculadas entre R$ 17 e 50 bilhões.

Foram ainda quebrados os sigilos da Reag Investimentos, empresa que liquidada pelo BC em janeiro deste ano por suspeita de participação nas fraudes do Banco Master.

O presidente da CPI, senador Fabiano Contarato (PT-ES), afirmou que a Comissão inicia uma nova fase da investigação contra o crime organizado.

“Precisamos parar de concentrar o combate em ações pontuais nas periferias e levar nossas investigações também para os esquemas do andar de cima”, afirmou o parlamentar capixaba.

A CPI ainda aprovou convites, quando o comparecimento à CPI é opcional, aos ministros do Supremo Tribunal Federal (STF), Alexandre de Moraes e Dias Toffoli, também no contexto da investigação contra o Banco Master.

Outros convites aprovados no contexto da investigação do Banco Master foram do ex-ministro da Fazenda, Guido Mantega, do atual ministro da Casa Civil, Rui Costa, e do atual presidente do Banco Central (BC), Gabriel Galípolo.

Ex-ministros da Cidadania

Também foram aprovados requerimentos para convocação, quando há obrigação de comparecer, dos ex-ministros da Cidadania do governo Bolsonaro, João Roma e Ronaldo Vieira Remo.

O senador Randolfe Rodrigues (PT-AP) argumentou que as convocações dos ex-ministros da Cidadania são importantes devido a s",2026-02-06 00:00:00,https://agenciabrasil.ebc.com.br/politica/noticia/2026-02/caso-master-cpi-do-crime-convoca-vorcaro-campos-neto-e-paulo-guedes,agenciabrasil,ESQUERDA,"** A notícia apresenta um tom descritivo e objetivo ao relatar os eventos da CPI do Crime Organizado no Senado, destacando as convocações de Daniel Vorcaro, Roberto Campos Neto e Paulo Guedes. No entanto, a ênfase nos pedidos de quebra de sigilo fiscal e bancário do Banco Master e dos sócios de Vorcaro sugere uma abordagem crítica à desregulação do mercado financeiro."
Senado aprova regras mais duras para condenados por morte de policiais,,"O Senado aprovou nesta terça-feira (24) o Projeto de Lei (PL) 5391/20 que estabelece regras mais rígidas para condenados por homicídios de policiais e outros agentes de segurança. O projeto altera a Lei nº 11.671, de 8 de maio de 2008, que trata da transferência e inclusão de presos em estabelecimentos penais federais de segurança máxima e segue agora para análise da Câmara dos Deputados.

Pela proposta, serão enviados para estabelecimentos penais federais de segurança máxima o preso - provisório ou condenado - pela prática do crime de homicídio qualificado quando praticado contra autoridade ou agente integrante do sistema prisional, da Força Nacional de Segurança, das polícias, das Forças Armadas, ou seus parentes, no exercício da função ou em decorrência dela ou contra seu cônjuge, companheiro ou parente consanguíneo até terceiro grau, em razão dessa condição.

O projeto propõe, ainda, alterações na Lei de Execução Penal no que diz respeito ao instituto do Regime Disciplinar Diferenciado (RDD), para que sejam incluídos neste regime os presos que praticarem homicídio contra militares e agentes da segurança pública.

A proposta inclui ainda no RDD os presos que tenham reiterado na prática de crimes cometidos com violência à pessoa ou grave ameaça, hediondos ou equiparados. A reiteração será reconhecida a partir da segunda condenação, não se exigindo o trânsito em julgado.",2026-02-06 00:00:00,https://agenciabrasil.ebc.com.br/politica/noticia/2026-02/senado-aprova-regras-mais-duras-para-condenados-por-morte-de-policiais,agenciabrasil,NEUTRO,"** O texto apresenta um tom descritivo e objetivo ao relatar a aprovação do Projeto de Lei 5391/20 no Senado, sem expressar juízo de valor ou tomar partido. No entanto, ao analisar o conteúdo e o contexto político atual, é possível identificar uma tendência ideológica subjacente."
Câmara aprova PL antifacção e endurece penas para crime organizado,Maior parte de mudanças feitas pelo Senado foi rejeitada. Taxação de bets e mudança de atribuição da Polícia Federal foram excluídas.,"Taxação de bets para fundo contra crime foi excluída do texto

O Plenário da Câmara dos Deputados aprovou no final da noite de terça (24) o projeto de lei antifacção, que prevê o aumento de penas pela participação em organização criminosa ou milícia. A proposta foi enviada pelo governo federal ao Congresso em 31 de outubro, mas houve alterações tanto na Câmara como no Senado.

Confira como foi a tramitação do projeto

Na Câmara, o relator foi o deputado Guilherme Derrite (PP-SP), que apresentou substitutivo ao Projeto de Lei 5582/25, de autoria do governo federal.

O texto final, agora, seguirá para sanção do presidente Lula. O projeto estipula a tipificação de condutas comuns de organizações criminosas ou milícias privadas.

A pena prevista é de reclusão de 20 a 40 anos em um crime categorizado como domínio social estruturado. O favorecimento a esse domínio será punido com reclusão de 12 a 20 anos.

Alterações

Na Câmara, o projeto de lei Antifacção foi chamado de “Marco legal de enfrentamento do crime organizado”. A maior parte das alterações feitas pelo Senado acabaram rejeitadas.

Foram excluídas também a taxação de bets para criação de fundo de combate ao crime organizado e mudanças na atribuição da Polícia Federal em cooperações internacionais.

Nesta quarta, o presidente da Câmara Hugo Motta anunciou que a possível futura lei deverá ser batizada com o nome do ex-ministro Raul Jungmann, que morreu no mês passado.

Restrições

Segundo o texto final, haverá restrições ao condenado por esses crimes como proibição de ser beneficiado por anistia, graça ou indulto, fiança ou liberdade condicional.

Ainda, os dependentes de quem se envolver com crime organizado não contarão com auxílio-reclusão se ele estiver preso provisoriamente ou cumprindo pena privativa de liberdade, em regime fechado ou semiaberto, em razão de ter cometido qualquer crime previsto no projeto.

As pessoas condenadas por esses crimes ou mantidas sob custódia até o julgamento deverão ficar obrigato",2026-02-06 00:00:00,https://agenciabrasil.ebc.com.br/politica/noticia/2026-02/camara-aprova-pl-antifaccao-e-endurece-penas-para-crime-organizado,agenciabrasil,NEUTRO,** O texto mantém um tom descritivo e neutro ao relatar as alterações feitas no projeto de lei antifacção na Câmara dos Deputados.
Câmara aprova acordo comercial entre Mercosul e União Europeia,,"Proposta cria uma área de livre comércio entre os dois blocos

O plenário da Câmara dos Deputados aprovou nesta quarta-feira(25) o acordo de comércio entre o Mercosul e a União Europeia. O texto do acordo foi aprovado ontem (24) pela representação brasileira no Parlamento do Mercosul (Parlasul).

Com a aprovação, o texto segue para votação no plenário do Senado. O acordo ainda tem que ser ratificado ainda nos Congressos da Argentina, Paraguai e Uruguai.

O Parlamento Europeu pediu ao Tribunal de Justiça da União Europeia uma avaliação jurídica sobre o acordo. A entrada em vigor apenas após conclusão de todos os trâmites.

O acordo, aprovado na Câmara em votação simbólica com voto contrário da federação Psol-Rede, cria uma área de livre comércio entre os dois blocos, com redução gradual de tarifas e preservação de setores considerados sensíveis, além de prever salvaguardas e mecanismos de solução de controvérsias.

Assinado no dia 17 de janeiro, no Paraguai, o acordo foi enviado para análise da representação brasileira no Parlasul pelo presidente Luiz Inácio Lula da Silva no dia 2 de fevereiro.

O debate na representação brasileira começou no dia 10 de fevereiro, quando o deputado Arlindo Chinaglia (PT-SP) leu seu relatório sobre o acordo, mas um pedido de vista adiou a análise.

Nesta terça-feira, o texto foi aprovado por unanimidade pela representação.

Confira as informações sobre a aprovação do acordo no Repórter Brasil, da TV Brasil

Por sugestão do relator, estarão sujeitos à aprovação do Congresso quaisquer atos que possam resultar em denúncia ou em revisão do acordo, bem como eventuais ajustes que acarretem encargos ou compromissos para o Brasil

“O acordo abre uma nova etapa de cooperação e parceria entre os países do Mercosul e da União Europeia”, destacou Chinaglia no parecer.

O texto contém 23 capítulos que tratam, entre outros pontos, da redução de impostos de importação e da criação de regras para diversos setores. O Mercosul zerará tarifas sobre 91% d",2026-02-06 00:00:00,https://agenciabrasil.ebc.com.br/politica/noticia/2026-02/camara-aprova-acordo-entre-mercosul-e-uniao-europeia,agenciabrasil,NEUTRO,** A notícia mantém um tom descritivo e neutro ao relatar a aprovação do acordo comercial entre o Mercosul e a União Europeia pela Câmara dos Deputados.
Ministro pede debate sobre recursos para combater crime organizado,Ministro da Justiça diz que é necessário Congresso debater propostas efetivas de recursos para combater o crime organizado no país.,"Após aprovação pela Câmara dos Deputados do PL Antifacção na noite de terça-feira (24), o ministro da Justiça e da Segurança Pública, Wellington Cesar Lima e Silva, disse hoje (25) que é necessário que o Congresso debata propostas efetivas de recursos para combater o crime organizado no país. O PL aprovado prevê o aumento de penas pela participação em organização criminosa ou milícia.

“Nós temos certeza absoluta de que o Congresso brasileiro terá a oportunidade de viabilizar, no debate da PEC (da Segurança Pública), proposições estruturantes de financiamento da segurança pública”, afirmou o ministro, em entrevista à imprensa.

No texto final, aprovado ontem, acabou sendo retirada pela Câmara a criação da Contribuição de Intervenção no Domínio Econômico (Cide) sobre bets (apostas esportivas) para financiar o combate ao crime organizado. O ministro disse que não tinha conhecimento que essa forma de financiamento seria rejeitada.

Na entrevista, no entanto, ele disse que o tema de recursos para segurança pública deve ser tratado com prioridade. Para o ministro, podem haver diferentes caminhos, além do financiamento do recurso das bets.

“O fundamental é que o Parlamento perceba essa expectativa e que seja atendido logo a seguir com a PEC, através de algum modelo que surja no Congresso ou que seja apresentado pelo governo.”

Texto final ""aperfeiçoado""

A par do revés em relação ao financiamento, Lima e Silva disse que o relatório final acolheu 14 das 23 propostas do Executivo para aperfeiçoar o texto final apresentado pelo relator da matéria, o deputado Guilherme Derrite (PP-SP).

“A nossa preocupação é dar à segurança pública e à população brasileira uma financiabilidade compatível com o tamanho do problema e da prioridade do assunto”, disse.

O ministro lembrou que a proposta original foi do governo federal e a aprovação, ao final de todo o processo, constitui um marco importante no combate ao crime organizado. Entre as propostas, ele entende que foi possível evitar ",2026-02-06 00:00:00,https://agenciabrasil.ebc.com.br/politica/noticia/2026-02/ministro-pede-debate-sobre-recursos-para-combater-crime-organizado,agenciabrasil,DIREITA,"** O texto apresenta um tom descritivo e neutro ao relatar a declaração do ministro da Justiça sobre a necessidade de debate sobre recursos para combater o crime organizado. No entanto, ao analisar as palavras-chave e o contexto, é possível identificar um viés ideológico."
Estupro: Senado aprova vulnerabilidade absoluta para menor de 14 anos,"Texto diz que ter ""conjunção carnal ou praticar outro ato libidinoso com menor de 14 anos"" é considerado estupro de vulnerável, punível com pena de oito a 15 anos de reclusão.","O Senado aprovou hoje (25) o Projeto de Lei (PL) 2195/2024, que considera a absoluta vulnerabilidade da vítima do crime de estupro de vulnerável, para estabelecer a aplicação das penas, independente da experiência sexual da vítima ou se o crime resultar em gravidez. O projeto segue agora para sanção do presidente Luiz Inácio Lula da Silva.

O projeto altera o artigo 217-A do Código Penal, que trata da tipificação do crime de estupro de vulnerável. O texto diz que ter ""conjunção carnal ou praticar outro ato libidinoso com menor de 14 anos"" é considerado estupro de vulnerável, punível com pena de oito a 15 anos de reclusão.

Segundo a relatoria da proposta na Comissão de Constituição e Justiça (CCJ), senadora Eliziane Gama (PSD-MA), o projeto visa aprimorar a proteção de vítimas de estupro de vulnerável e reafirma o entendimento estabelecido na Súmula nº 593 do Superior Tribunal de Justiça (STJ), que considera irrelevantes, para a caracterização de crime, o eventual consentimento da vítima, a sua experiência sexual anterior ou a existência de relacionamento amoroso com o réu.

“A alteração que estabelece a presunção absoluta de vulnerabilidade da vítima reforça a intenção do legislador de não permitir discussões que possam desvirtuar a finalidade da norma, focando na proteção do incapaz de consentir, como infelizmente ainda sói ocorrer com frequência nos julgados de alguns Tribunais de Justiça do país”, observou.

A aprovação do projeto vem na esteira do episódio em que a 9ª Câmara Criminal Especializada do Tribunal de Justiça de Minas Gerais que absolveu, por maioria de votos, um homem de 35 anos que havia sido condenado pelo estupro de uma menina de 12 anos. O argumento para a absolvição foi de que eles viviam juntos como um casal.

Diante da repercussão negativa do caso, o desembargador Magid Nauef Láuar, do Tribunal de Justiça de Minas Gerais, acatou recurso do Ministério Público e manteve a condenação de um homem acusado de estuprar uma menina de 12 anos. A Justi",2026-02-06 00:00:00,https://agenciabrasil.ebc.com.br/politica/noticia/2026-02/estupro-senado-aprova-vulnerabilidade-absoluta-para-menor-de-14-anos,agenciabrasil,ESQUERDA,"** O texto apresentado é um relato descritivo sobre a aprovação de um projeto de lei no Senado que altera o Código Penal para considerar a absoluta vulnerabilidade da vítima do crime de estupro de vulnerável. O texto não apresenta adjetivações ou juízos de valor, limitando-se a relatar os fatos e as decisões tomadas."
Câmara aprova uso de recursos do FGO em operações do Pronaf,Ato conjunto dos ministérios do Desenvolvimento Agrário e da Fazenda definirá como esses recursos serão alocados e quais limites máximos de garantia poderão ser concedidos.,"A Câmara dos Deputados aprovou nesta quinta-feira (16) o Projeto de Lei 2213/25, que autoriza o uso de recursos do Fundo Garantidor de Operações (FGO) para cobrir ações do Programa Nacional de Fortalecimento da Agricultura Familiar (Pronaf). O texto, de autoria do Senado, segue agora para sanção do presidente Luiz Inácio Lula da Silva.

Administrado pelo Banco do Brasil, o FGO facilita o acesso ao crédito por empresas e setores específicos, diminuindo os riscos para os bancos.

De acordo com o projeto, até R$ 500 milhões do FGO poderão ser utilizados para garantir as operações do Pronaf, que oferece linhas de crédito com condições especiais a agricultores familiares. O texto aprovado altera a Lei 13.999/20, que institui o Programa Nacional de Apoio às Microempresas e Empresas de Pequeno Porte (Pronampe).

Um ato conjunto dos ministérios do Desenvolvimento Agrário e da Fazenda definirá como esses recursos serão alocados, quais limites máximos de garantia poderão ser concedidos, os critérios de elegibilidade dos agricultores familiares e de suas cooperativas.

>> Siga o canal da Agência Brasil no WhatsApp

O ato deve indicar ainda quais operações do Pronaf poderão receber cobertura do FGO. As instituições financeiras autorizadas a operar crédito rural no Pronaf poderão solicitar essa garantia, respeitados os limites proporcionais de suas carteiras e o montante efetivamente aportado pela União e pelos demais cotistas.

O relator do projeto, deputado Rogério Correia (PT-MG), disse que a medida não produz impacto orçamentário ou financeiro imediato sobre as contas da União. O deputado citou o Balanço Patrimonial Consolidado do próprio FGO, referente a dezembro de 2024, que mostra que o fundo detinha R$ 43 bilhões em ativos totais, o que demonstra, segundo Correia, que a eventual destinação de até R$ 500 milhões para operações do Pronaf representa uma fração modesta de sua capacidade financeira.

“A medida não afeta sua aptidão [do FGO] para dar cobertura às garantias rel",2026-02-07 00:00:00,https://agenciabrasil.ebc.com.br/politica/noticia/2026-02/camara-aprova-uso-de-recursos-do-fgo-em-operacoes-do-pronaf,agenciabrasil,NEUTRO,"** A notícia apresenta um tom descritivo e neutro ao relatar a aprovação do Projeto de Lei 2213/25 pela Câmara dos Deputados, sem tomar partido ou fazer juízo de valor sobre o conteúdo da lei."
CPMI do INSS aprova quebra de sigilo de Lulinha e convoca André Moura,"Outros 86 requerimentos foram aprovados, incluindo a quebra dos sigilos bancário e fiscal do Banco Master e novas convocações, como a do ex-executivo e sócio do Banco Master, Augusto Ferreira Lima.","Os integrantes da Comissão Parlamentar Mista de Inquérito (CPMI) do Instituto Nacional do Seguro Social (INSS) aprovaram, nesta quinta-feira (26), as quebras de sigilos bancários e fiscais do empresário Fábio Luís Lula da Silva, filho do presidente da República, Luiz Inácio Lula da Silva.

O pedido de elaboração de relatórios de inteligência financeira e de quebra dos sigilos bancário e fiscal de Lulinha foi solicitado pelo deputado Alfredo Gaspar (União/AL)

Silva é citado na decisão do Supremo Tribunal Federal (STF) que autorizou a Polícia Federal (PF) e a Controladoria-Geral da União (CGU) a realizarem, em 18 de dezembro de 2025, uma nova fase da Operação Sem Desconto, que investiga o esquema nacional de descontos associativos não autorizados que lesou milhões de aposentados e pensionistas de todo o Brasil.

Mensagens que a PF extraiu do celular de Antônio Carlos Camilo Antunes, o Careca do INSS, principal operador do esquema criminoso, citam o repasse de ao menos R$ 300 mil para “o filho do rapaz” – que, segundo os investigadores, seria uma alusão a Lulinha.

“A quebra dos sigilos bancário e fiscal, bem como o acesso ao Relatório de Inteligência Financeira (RIF) de Fabio Luis Lula da Silva, tornam-se imperativos técnicos para a CPMI do INSS”, afirmou o deputado Alfredo Gaspar ao justificar seu requerimento.

Em nota divulgada ontem (25), a defesa de Silva afirmou que o cliente não tem nenhuma relação com as fraudes contra os beneficiários do INSS, não tendo participado de desvios nem recebido quaisquer valores de fontes criminosas.

“Diante da incessante campanha midiática reproduzindo dados parciais e sigilosos de uma investigação em andamento, entendi ser necessário requerer ao STF acesso à investigação”, revelou o advogado Guilherme Suguimori Santos.

O advogado informou que Silva se colocou à disposição do Supremo para prestar esclarecimentos, tão logo a defesa tenha acesso aos autos do processo. “O acesso aos autos ainda não foi concedido a Silva, o que imp",2026-02-07 00:00:00,https://agenciabrasil.ebc.com.br/politica/noticia/2026-02/cpmi-do-inss-aprova-quebra-de-sigilo-de-lulinha-e-convoca-andre-moura,agenciabrasil,NEUTRO,"** A notícia apresenta um tom descritivo e objetivo sobre a aprovação de quebras de sigilo por parte da CPMI do INSS, incluindo a de Lulinha e o Banco Master. O texto não contém adjetivações ou juízos de valor que possam indicar um viés ideológico."
Senado aprova regras para empresas que prestam serviços a turistas,"Projeto altera a expressão usada para nomear esses negócios de ""empresas de turismo receptivo"" para ""agências de turismo receptivo"".","O Senado aprovou nesta quarta-feira (25) o projeto de lei (PL) 4.099/2023 que classifica empresas que fazem recepção, transporte e passeios no local de destino dos turistas como agências de turismo. O texto ainda será analisado pela Câmara dos Deputados

O projeto altera a expressão usada para nomear essas empresas de ""empresas de turismo receptivo"" para ""agências de turismo receptivo"". Essas empresas atuam exclusivamente ou prioritariamente na prestação de serviços turísticos no destino visitado.

Entre as atividades desempenhadas estão a recepção e acolhimento de turistas; serviços de traslado e transporte local; elaboração, comercialização e execução de roteiros e passeios turísticos; e assistência, orientação e acompanhamento ao turista durante sua permanência.

Segundo a relatora da proposta, a senadora Ana Paula Lobato (PSB-MA) a alteração para o termo ""empresa"" reflete com maior precisão a diversidade e a complexidade das operações desempenhadas em regiões com vocação natural para o turismo, “que vão muito além da simples agência”, mas que ainda carecem de estrutura empresarial consolidada.

A senadora destacou ainda que o projeto dá segurança jurídica a essas agências, fortalece o tecido econômico local, garantindo que a renda gerada pelo turismo permaneça e circule na própria comunidade, incentivando o empreendedorismo regional.

“[O projeto se justifica] pelo fortalecimento das agências de turismo receptivo que, por sua própria natureza, são empresas de base local, gerando empregos diretos e indiretos na ponta, contratando guias locais, motoristas, e firmando parcerias com hotéis, restaurantes e artesãos da região”, afirmou.

Para Ana Paula Lobato, medida é simples mas tem efeitos positivos profundos, que beneficiam ""desde o pequeno empreendedor local até a imagem do Brasil como um destino turístico organizado e competitivo”, concluiu.

Alíquotas

O Senado também aprovou, nesta quarta-feira, a redução das alíquotas do PIS/PASEP e Cofins para indústrias quí",2026-02-07 00:00:00,https://agenciabrasil.ebc.com.br/politica/noticia/2026-02/senado-aprova-regras-para-empresas-que-prestam-servicos-turistas,agenciabrasil,ESQUERDA,** O texto mantém um tom descritivo e neutro ao relatar a aprovação do projeto de lei no Senado sem adjetivações ou juízos de valor.
Sindicatos repudiam violência contra jornalista na Câmara,"Repórter relata ter sido hostilizada por assessores, militantes e parlamentares após ter feito pergunta.","Entidades ligadas ao jornalismo repudiaram, em nota nesta quarta-feira (24), um episódio de violência sofrido pela jornalista Manuela Borges, do Portal ICL Notícias, no Salão Verde da Câmara dos Deputados, em Brasília, na tarde de terça-feira (23).

As entidades consideraram o episódio “inaceitável e absurdo” e apontaram ter havido “grave violência” e “coação” profissional que estava no exercício da função dentro de uma Casa legislativa.

O documento é assinado pelo Sindicato dos Jornalistas Profissionais do Distrito Federal (SJPDF), pelo Coletivo de Mulheres Jornalistas do DF, pela Federação Nacional de Jornalistas (FENAJ) e pela Comissão de Mulheres Jornalistas da FENAJ.

Ontem, Manuela Borges foi cercada e intimidada por um grupo de cerca de 20 servidores de gabinetes de parlamentares. As violências ocorreram depois de ela questionar parlamentares do PL sobre a instalação de outdoors no Distrito Federal com imagens da ex-primeira-dama Michelle Bolsonaro e da deputada federal, Bia Kicis (PL-DF).

Ela cobria uma entrevista à imprensa de parlamentares opositores ao governo federal em que estavam presentes assessores e também pessoas que filmavam sem credenciamento. Depois de fazer a pergunta sobre os outdoors no Distrito Federal, Manuela passou a ser hostilizada. Ela conta que simpatizantes dos políticos passaram a colocar os celulares muito perto de seu rosto e houve gritos em tom de intimidação.

“Nosso papel é o de fazer perguntas. Doa a quem doer. Não podemos sofrer violência por causa disso”, disse a jornalista em entrevista à Agência Brasil.

Violência de gênero

Para as entidades, o cerco agressivo contra uma mulher jornalista tem por objetivo silenciar os questionamentos e fragilizar a presença feminina nos espaços de poder.

“A liberdade de imprensa é pilar fundamental da democracia e não pode ser cerceada por métodos de coação física e psicológica praticados por servidores públicos pagos com o dinheiro da sociedade”, destacou a nota.

Para os representante",2026-02-07 00:00:00,https://agenciabrasil.ebc.com.br/politica/noticia/2026-02/sindicatos-repudiam-violencia-contra-jornalista-na-camara,agenciabrasil,ESQUERDA,"** A notícia apresenta um relato objetivo sobre o episódio de violência sofrido pela jornalista Manuela Borges no Salão Verde da Câmara dos Deputados, sem adotar uma linguagem que demonize ou justifique a conduta dos envolvidos. O foco está na denúncia das violências e coações sofridas pela jornalista, o que sugere um viés de defesa dos direitos profissionais e da liberdade de imprensa."
