titulo,subtitulo,texto,data,url,portal
Lula diz que Operação Lava Jato “foi a grande mentira do século”,Presidente foi um dos quase 300 condenados na ação,"Kleber Pizão - 18h02

Luiz Inácio Lula da Silva (PT) Foto: Ricardo Stuckert / PR

O presidente Luiz Inácio Lula da Silva (PT) afirmou nesta sexta-feira (22) que a Operação Lava Jato, na qual foi preso em 2018, foi a maior mentira do século 21. Segundo o petista, a investigação não apresentou provas suficientes para as condenações e, além disso, prejudicou a economia.

A declaração dada por ele foi uma das justificativas para as pessoas não gostarem de política, pois, segundo o presidente, a maioria dos debates sobre o tema aborda a corrupção. As falas ocorreram em entrevista ao programa Sem Censura, da TV Brasil.

— Eu não vou entrar no meu caso, mas a Lava Jato foi a grande mentira do século 21 neste país. E os meios de comunicação fomentaram dois monstros, chamados [Sergio] Moro e Deltan Dallagnol, e que depois não provaram nada — disse.

Sergio Moro foi o juiz federal responsável por julgar os processos da Operação Lava Jato em primeira instância, enquanto Deltan Dallagnol foi o procurador da República que coordenou a força-tarefa do Ministério Público Federal (MPF).

Lula ainda complementou que a operação afetou diretamente a economia, pois a prisão de diversos donos de empresas teria deixado milhões de pessoas desempregadas.

— Quebraram muitas empresas, porque quando uma empresa pratica um ato de corrupção, você prende o dono da empresa e deixa a empresa gerando emprego. Mas aqui o objetivo era quebrar as empresas. A serviço de quem? Quatro milhões de empregos foram desmontados com todo aquele episódio da Lava Jato. A serviço de quem? — questionou.

Segundo o petista, os meios de comunicação deveriam pedir desculpas ao povo pela propagação do caso, e usou como exemplo a medida tomada sobre a situação do regime militar.

— Então, eu não vi ninguém pedir desculpa. Ninguém pede desculpa nesse país. Sabe, os meios de comunicação poderiam… demoraram 50 anos para reconhecer, pedir desculpas no regime militar. E agora eles vão demorar mais 50 para pedir desculpa pelo",,https://pleno.news/brasil/politica-nacional/lula-diz-que-operacao-lava-jato-foi-a-grande-mentira-do-seculo.html,plenonews
Lula fala em vetar PL que libera mensagens eleitorais em massa,Presidente também falou sobre a necessidade de lidar com a inteligência artificial nas eleições,"Henrique Gimenes - 18h16 | atualizado em 22/05/2026 19h19

Presidente Luiz Inácio Lula da Silva Foto: EFE/ Andre Borges

Nesta sexta-feira (22), o presidente Luiz Inácio Lula da Silva (PT) afirmou que pretende vetar um projeto de lei aprovado pela Câmara dos Deputados que libera o disparo em massa de mensagens eleitorais. De acordo com o petista, antes ele pretende trabalhar para que o tema não seja aprovado no Senado.

A medida faz parte de um projeto de minirreforma eleitoral que, entre outras coisas, libera o envio de mensagens em massa a eleitores previamente cadastrados e altera a prestação de contas de partidos políticos.

Lula abordou o assunto durante entrevista à TV Brasil. De acordo com o petista, é preciso ainda pensar nos usos da inteligência artificial (IA) no pleito.

– Acho que está na hora de a gente pensar que a inteligência artificial vale para muita coisa, mas ela não pode valer na disputa eleitoral para escolher um prefeito, um governador, um deputado. Não pode. E, agora, as bancadas aprovaram [na Câmara] uma coisa que vai fomentar o uso de robôs na eleição. Eu certamente vetarei. Primeiro, vou trabalhar para o Senado não aprovar, e depois eu vetarei – disse.

Durante a conversa, o petista também afirmou que mudou de ideia em relação ao fundo eleitoral. Somente para 2026, os parlamentares aprovaram o valor de R$ 4,9 bilhões para o fundo.

– Eu era favorável a fundo partidário, a fundo eleitoral, hoje eu sou contra, porque levou à promiscuidade na política. Um deputado hoje tem R$ 50 milhões, R$ 60 milhões de emendas por ano – afirmou o presidente.

Leia também1

2

3

4

5



Siga-nos nas nossas redes! facebook

instagram

whatsapp

telegram

youtube

twitter

Receba notícias

em seu celular! Whatsapp Telegram

Comunicar erro Se você encontrou erro neste texto, por favor preencha os campos abaixo. Sua mensagem e o link da página serão enviados automaticamente à redação do Pleno.News, que checará a informação. Nome Completo E-mail Telefone Descriç",,https://pleno.news/brasil/politica-nacional/lula-fala-em-vetar-pl-que-libera-mensagens-eleitorais-em-massa.html,plenonews
Conservadorismo,"Marco Feliciano é pastor e está em seu quarto mandato consecutivo como deputado federal pelo Estado de São Paulo. Ele também é escritor, cantor e presidente da Assembleia de Deus Ministério Catedral do Avivamento.","06/07/2018

As bandeiras de Obrador são de cunho populista, com uma agenda que dá enfoque à eliminação da corrupção e da pobreza. Ele se apresenta como um salvador da pátria; filme que já assistimos por aqui",,https://pleno.news/opiniao/marco-feliciano,plenonews
TSE torna candidatos inelegíveis por uso de igreja para promoção,"Caso ocorreu em Votorantim, no interior de São Paulo","Pleno.News - 11h44 | atualizado em 22/05/2026 18h49

Prefeita Fabíola Alves Foto: Reprodução/YouTube Portal Porque

O Tribunal Superior Eleitoral (TSE) manteve, por unanimidade, a condenação da prefeita de Votorantim, no interior de São Paulo, Fabíola Alves da Silva (PSDB), seu vice, Cesar Silva (PSDB) e do vereador Alison Andrei Pereira de Camargo, conhecido como Pastor Lilo (MDB), pela utilização de um culto religioso para promover candidaturas nas eleições de 2024. O acórdão foi publicado na última segunda-feira (18).

O ministro Antonio Carlos Ferreira manteve o entendimento do Tribunal Regional Eleitoral de São Paulo (TRE-SP) de que houve uso da estrutura da Igreja do Evangelho Quadrangular para fins eleitorais. Segundo a Corte, embora “não haja tipificação autônoma de abuso do poder religioso”, a utilização da estrutura e da autoridade religiosa pode configurar abuso político ou econômico quando há “desvio de finalidade e impacto na igualdade do pleito”.

O tribunal destacou que o culto teve “inegável caráter eleitoreiro” e citou falas do líder religioso que, segundo os ministros, demonstraram mobilização explícita em favor das candidaturas. Durante o evento, o pastor afirmou que a igreja possuía “um projeto de eleger dentro dos municípios” e que havia um desafio de “elegermos 120 vereadores esse ano nessa eleição”.

Segundo o acórdão, o pastor do culto também declarou:

– A Igreja Quadrangular aqui de Votorantim, nós estamos fechados com o pastor Lilo.

Além disso, o TSE também destacou a convocação feita aos fiéis para a votação:

– A partir do dia 16, nós vamos trabalhar muito.

Na avaliação do relator, as declarações “afastam, de plano, qualquer pretensão de que o evento tivesse caráter exclusivamente espiritual”.

O acórdão ainda menciona que Fabíola Alves e o então candidato a vice-prefeito foram chamados ao altar como “pré-candidatos” para receber orações públicas diante dos fiéis. Segundo a decisão, houve “deliberada utilização da estrutura e da autori",,https://pleno.news/brasil/politica-nacional/tse-torna-candidatos-inelegiveis-por-uso-de-igreja-para-promocao.html,plenonews
Eleições 2026,CATEGORIAS,"Para Duda Lima, votar no presidente Luiz Inácio Lula da Silva não é uma opção Presidente também falou sobre a necessidade de lidar com a inteligência artificial nas eleições Michelle, por outro lado, teria 48% dos votos e o atual presidente 43% Pré-candidato à Presidência defendeu a necessidade de retomar ""territórios dominados pelas facções criminosas"" Durante evento em São Paulo, pré-candidato do PSD à Presidência disse acreditar que a direita ganhará as eleições Texto aponta ""precedente manipulativo grave"" A corporação garantiu que as ações serão sob critérios técnicos com neutralidade político-partidária Sabatinas serão durante a Marcha dos Prefeitos nesta semana Pré-candidato à Presidência publicou um vídeo sobre como tem buscado apoio espiritual na campanha ""Aqui tem sangue de Bolsonaro"", disse o senador Partido decidiu substituir o nome de Aldo Rebelo, que tinha sido escolhido como postulante pela sigla Ex-ministro falou em ""afronta"" ao se referir a Joaquim Barbosa Pré-candidato do PSD falou em entrevista à rádio de Mato Grosso do Sul Deputada encontrou o pré-candidato a presidente durante evento em Campinas",,https://pleno.news/brasil/eleicoes-2026,plenonews
Fachin propõe contracheque único para juízes do país,Proposta visa aumentar a transparência nos pagamentos,"Pleno.News - 16h23 | atualizado em 22/05/2026 18h53

Ministro Edson Fachin Foto: Gustavo Moreno/STF

O presidente do Supremo Tribunal Federal (STF) e do Conselho Nacional de Justiça (CNJ), ministro Edson Fachin, propôs a criação de um contracheque único para magistrados brasileiros. A medida deve ser analisada pelo CNJ na próxima terça-feira (26) e busca ampliar a transparência nos pagamentos do Judiciário.

A proposta prevê a padronização das folhas salariais em todo o país. Com isso, juízes passarão a receber apenas um contracheque mensal, reunindo verbas remuneratórias, indenizatórias, descontos e outros valores funcionais. A iniciativa é para “padronizar nacionalmente as rubricas de pagamento, vedando a existência de folhas paralelas, documentos complementares ou classificações distintas para verbas de mesma natureza”.

Segundo Fachin, o sistema permitirá maior fiscalização do CNJ sobre os pagamentos realizados pelos tribunais. A medida também prevê integração dos sistemas de pagamento e envio padronizado de dados ao conselho.

A Corregedoria Nacional de Justiça poderá requisitar informações, acessar sistemas, suspender pagamentos considerados irregulares e abrir procedimentos administrativos.

Neste mês, o STF publicou o acórdão que estabelece limites para verbas indenizatórias recebidas por magistrados e integrantes do Ministério Público, conhecidas como “penduricalhos”.

Em março, o plenário aprovou uma regra que limita esses adicionais a 35% do teto constitucional, atualmente fixado em R$ 46.366,19, valor pago aos ministros do STF.

Com isso, integrantes dessas carreiras poderão receber até R$ 16.228,16 em verbas extras. A estimativa é de economia anual de R$ 7,3 bilhões aos cofres públicos.

A norma também criou um limite específico para o adicional por tempo de serviço. O benefício será de 5% do subsídio a cada cinco anos de atividade jurídica, até alcançar o teto definido.

Leia também1

2

3

4

5



Siga-nos nas nossas redes! facebook

instagram

whatsa",,https://pleno.news/brasil/politica-nacional/fachin-propoe-contracheque-unico-para-juizes-do-pais.html,plenonews
Sóstenes comemora entrada de Mendonça em comissão do TSE,Líder do PL afirmou que medida fortalece a liberdade de expressão,"Leiliane Lopes - 15h34 | atualizado em 22/05/2026 18h37

Ministros do TSE Foto: Antonio Augusto/TSE

O deputado federal Sóstenes Cavalcante (PL-RJ), líder do Partido Liberal na Câmara, comemorou nesta sexta-feira (22) a decisão do presidente do TSE, Nunes Marques, de incluir o ministro André Mendonça na comissão responsável por propaganda eleitoral e direito de resposta nas Eleições 2026.

A manifestação foi publicada na rede social X, pouco após a divulgação da portaria do Tribunal Superior Eleitoral.

– Vejo com esperança a decisão do ministro Nunes Marques ao incluir André Mendonça na comissão do TSE responsável por propaganda eleitoral e direito de resposta – escreveu.

O parlamentar afirmou ainda que o país precisa de “equilíbrio, pluralidade e respeito à liberdade de expressão” dentro da Justiça Eleitoral.

– Fortalecer decisões colegiadas e garantir diferentes visões dentro da Corte é um passo importante para eleições mais justas, transparentes e democráticas em 2026 – declarou.

Leia também1

2

3

4

5



Siga-nos nas nossas redes! facebook

instagram

whatsapp

telegram

youtube

twitter

Receba notícias

em seu celular! Whatsapp Telegram

Comunicar erro Se você encontrou erro neste texto, por favor preencha os campos abaixo. Sua mensagem e o link da página serão enviados automaticamente à redação do Pleno.News, que checará a informação. Nome Completo E-mail Telefone Descrição do erro

WhatsApp

Entre e receba as notícias do dia

Entrar no Canal

Telegram Entre e receba as notícias do dia Entrar no Grupo",,https://pleno.news/brasil/politica-nacional/sostenes-comemora-entrada-de-mendonca-em-comissao-do-tse.html,plenonews
Mendonça autoriza retorno de Vorcaro para cela especial na PF,Decisão atende a um pedido da defesa do banqueiro,"Kleber Pizão - 18h21 | atualizado em 22/05/2026 19h03

Daniel Vorcaro Foto: Ana Paula Paiva/Valor/Agência O Globo

O ministro André Mendonça, do Supremo Tribunal Federal (STF), autorizou nesta sexta-feira (22) o retorno do banqueiro Daniel Vorcaro a uma cela especial na Superintendência da Polícia Federal (PF) em Brasília. A decisão atendeu a um pedido da defesa do ex-dono do Banco Master após ele ser levado a uma cela comum.

A Procuradoria-Geral da República (PGR) concordou com o pedido. O órgão alertou para riscos na transferência devido à exposição do caso e à possibilidade de o banqueiro usar o sistema prisional comum para enviar orientações a outros membros de uma organização criminosa.

A PGR ressaltou que a entrega de anexos para uma delação premiada demonstra colaboração, mas não justifica prisão domiciliar. Segundo o órgão, ainda há riscos de destruição de provas, intimidação de testemunhas e contato com integrantes não identificados do grupo.

A transferência anterior para a cela comum ocorreu após uma decisão de Mendonça. Os advogados do banqueiro contestaram a mudança, afirmando que o novo local não apresentava condições adequadas, como fornecimento regular de água, iluminação e ventilação mínima.

Ao autorizar o retorno, Mendonça explicou que sua decisão anterior não trazia ordem expressa de transferência. O ministro afirmou que a medida apenas determinava a aplicação das regras comuns de custódia da unidade policial, sem especificar a mudança de alojamento.

— A decisão anteriormente proferida determinou a aplicação das regras ordinárias de custódia usualmente empregadas aos presos naquela unidade policial (…) efetivamente, não houve deliberação expressa quanto à necessidade de eventual manutenção do requerente no alojamento em que se encontrava, ou acerca da possibilidade de sua transferência a outro local, dentro das instalações da Superintendência — afirmou o ministro.

Leia também1

2

3

4

5



Siga-nos nas nossas redes! facebook

instagram

wha",,https://pleno.news/brasil/politica-nacional/mendonca-autoriza-retorno-de-vorcaro-para-cela-especial-na-pf.html,plenonews
André Mendonça é designado juiz auxiliar da propaganda eleitoral,Magistrado atuará ao lado da ministra Estela Aranha nas eleições de 2026,"Leiliane Lopes - 14h28 | atualizado em 22/05/2026 19h19

Ministro André Mendonça no TSE Foto: Luiz Roberto/TSE

Nesta sexta-feira (22), o presidente do Tribunal Superior Eleitoral (TSE), Nunes Marques, assinou uma portaria que designa o ministro André Mendonça como juiz auxiliar da propaganda eleitoral nas Eleições 2026. A medida foi publicada no Diário Oficial da União (DOU).

Segundo a Portaria TSE nº 235/2026, Mendonça atuará ao lado da ministra Estela Aranha, que já havia sido indicada para a função. A Presidência do TSE também participará da distribuição dos processos ligados à propaganda eleitoral, conforme prevê a Lei das Eleições.

A norma determina ainda que pedidos de liminar e ações sobre direito de resposta serão analisados imediatamente pelo plenário da Corte, inclusive em sessões virtuais. O texto também informa que a decisão será submetida ao referendo do plenário do TSE.

Leia também1

2

3

4

5



Siga-nos nas nossas redes! facebook

instagram

whatsapp

telegram

youtube

twitter

Receba notícias

em seu celular! Whatsapp Telegram

Comunicar erro Se você encontrou erro neste texto, por favor preencha os campos abaixo. Sua mensagem e o link da página serão enviados automaticamente à redação do Pleno.News, que checará a informação. Nome Completo E-mail Telefone Descrição do erro

WhatsApp

Entre e receba as notícias do dia

Entrar no Canal

Telegram Entre e receba as notícias do dia Entrar no Grupo",,https://pleno.news/brasil/politica-nacional/andre-mendonca-e-designado-juiz-auxiliar-da-propaganda-eleitoral.html,plenonews
Ficha Limpa: Cármen Lúcia vota contra redução de inelegibilidade,Ministra diz que as mudanças propostas na lei representariam um retrocesso,"Kleber Pizão - 16h01 | atualizado em 22/05/2026 18h51

Ministra Cármen Lúcia Foto: Alejandro Zambrana/Secom/TSE

A ministra Cármen Lúcia, do Supremo Tribunal Federal (STF), votou, nesta sexta-feira (22), para declarar inconstitucionais trechos de uma norma que altera a Lei da Ficha Limpa. A magistrada é a relatora do caso.

Em lei aprovada pelo Congresso Nacional e sancionada pelo presidente Luiz Inácio Lula da Silva (PT) no ano passado, os parlamentares anteciparam o início da contagem do prazo de inelegibilidade. O período se inicia a partir da condenação, e não mais após o cumprimento da pena. Em suma, a nova regra diminuiu o tempo em que o condenado é impedido de se candidatar.

O Congresso também aprovou outras mudanças que diminuem as causas de inelegibilidade — por exemplo, no caso de improbidade. As alterações foram contestadas na Corte pelo partido Rede Sustentabilidade.

Em seu voto, Cármen Lúcia defendeu que as mudanças aprovadas pelo Congresso e sancionadas pelo Executivo esvaziam a legislação sobre o tema e representam um retrocesso.

A expectativa era de que a ministra apresentasse um voto considerando o parecer da Procuradoria-Geral da República (PGR), que contesta algumas mudanças aprovadas pelo Congresso, sobretudo os trechos que permitem que o período de inelegibilidade seja contado ao mesmo tempo que a suspensão dos direitos políticos.

— As alterações levadas a efeito pela Lei Complementar nº 219/2025 relacionam-se aos termos iniciais e à contagem de prazo para fins de inelegibilidade e estabelecem cenário de patente retrocesso ao que se tinha estabelecido como instrumento de garantia dos princípios republicano, da probidade administrativa e da moralidade pública — escreveu Cármen Lúcia, em seu voto.

O julgamento ocorre na Primeira Turma, de forma virtual, e vai até o próximo dia 29. Os demais ministros ainda não votaram.

Com informações AE*

Leia também1

2

3

4

5



Siga-nos nas nossas redes! facebook

instagram

whatsapp

telegram

youtube",,https://pleno.news/brasil/politica-nacional/ficha-limpa-carmen-lucia-vota-contra-reducao-de-inelegibilidade.html,plenonews
