titulo,subtitulo,texto,data,url,portal
Jornal da Cidade Online,Um jornal consciente não abre mão do seu direito de crítica,"Newsletter

As principais notícias do dia no seu e-mail.",Data Indisponível,https://www.jornaldacidadeonline.com.br/,jornaldacidade
Jornal da Cidade Online,,"Nossas redes sociais

Inscreva-se no nosso canal

Telegram

Receba as notícias do dia no Telegram

Entrar no canal",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/,jornaldacidade
Encontro com Trump vai mostrar a diferença entre a ‘diplomacia isolacionista’ de Lula e a estratégia de Flávio em prol do país,"Já
confirmado pela CBN, Reuters, Globo, Poder 360, JCO e Folha: Flávio Bolsonaro
foi convidado por Donald Trump para um encontro na próxima semana na Casa
Branca.

Flavio deve
viajar para os EUA no di...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

Já confirmado pela CBN, Reuters, Globo, Poder 360, JCO e Folha: Flávio Bolsonaro foi convidado por Donald Trump para um encontro na próxima semana na Casa Branca.

Flavio deve viajar para os EUA no dia 25 (segunda-feira).

O encontro é oportuno, depois do fiasco de lula nos EUA, acompanhado de um enorme séquito de incompetentes que voltaram de mãos vazias.

Servirá para estabelecer um contraste definitivo entre a diplomacia obtusa e isolacionista de lula e uma verdadeira estratégia internacional para promover o desenvolvimento do país, com alianças inquestionavelmente necessárias e valiosas.

O lulismo em surto vai ter que fazer mágica - e não conseguirá - para diminuir a importância dessa parceria e desse encontro. Mas tentarão.

Fato é que, por essas e outras, por vias diretas ou indiretas, a enorme incompetência do desgoverno lula vai sendo exposta, por mais que tentem criar uma realidade paralela e ficcional.

E o que é melhor: está sendo mostrada ao mundo.",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83246/encontro-com-trump-vai-mostrar-a-diferenca-entre-a-diplomacia-isolacionista-de-lula-e-a-estrategia-de-flavio-em-prol-do-pais,jornaldacidade
Flavio ironiza repórter esquerdista e gargalhadas dão lição na imprensa tendenciosa (veja o vídeo),"O senador e
pré-candidato à presidência, Flávio Bolsonaro, ironizou, nesta quinta-feira (21),
perguntas sobre uma possível reunião com o presidente dos Estados Unidos,
Donald Trump, na próxima semana,...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

O senador e pré-candidato à presidência, Flávio Bolsonaro, ironizou, nesta quinta-feira (21), perguntas sobre uma possível reunião com o presidente dos Estados Unidos, Donald Trump, na próxima semana, em Washington.

Ao ser questionado sobre o encontro, Flávio negou ter pedido agenda com Trump e respondeu em inglês.

“Não pedi agenda nenhuma… Call to the White House”, disse o senador.

""Ligação da casa Branca.""

Na sequência, Flávio continuou falando em inglês e afirmou que apenas o presidente norte-americano poderia confirmar ou negar a reunião.

“Call to the White House and ask him what is this, if it is true or it’s false. He’s the only person that can talk about this”, declarou.

“Liguem para a Casa Branca e perguntem a ele o que é isso, se é verdade ou mentira. Ele é a única pessoa que pode falar sobre isso”, declarou.

Veja o vídeo:

Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao

SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83245/flavio-ironiza-reporter-esquerdista-e-gargalhadas-dao-licao-na-imprensa-tendenciosa-veja-o-video,jornaldacidade
AO VIVO: Trump convida Flavio / Alcolumbre trava CPI do Master / Lula avança contra big techs (veja o vídeo),"Não perca o
novo episódio do Choque de Ordem, o programa que analisa sem rodeios os
principais fatos da política brasileira!

Davi
Alcolumbre rejeita pedidos para ler requerimento de CPMI sobre o Banc...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

Não perca o novo episódio do Choque de Ordem, o programa que analisa sem rodeios os principais fatos da política brasileira!

Davi Alcolumbre rejeita pedidos para ler requerimento de CPMI sobre o Banco Master. A quem o presidente do Senado está servindo?

Liberdade de expressão em risco total! Lula assinou novas regras para as big techs no Brasil. Na prática, censura e fiscalização direta do governo em ano eleitoral.

E o senador Flávio Bolsonaro viaja a Washington para encontro com o presidente Donald Trump.

É o momento de entender os bastidores, as manobras políticas e os rumos do país com quem não tem medo de falar a verdade. Para comentar os assuntos, a deputada federal Silvia Waiãpi, o advogado Maurício Fernandes e o professor Marcos Pizzolatto.

Assista, compartilhe, apoie o trabalho do Jornal da Cidade Online!

Veja o vídeo:

Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao

SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83244/ao-vivo-trump-convida-flavio-alcolumbre-trava-cpi-do-master-lula-avanca-contra-big-techs-veja-o-video,jornaldacidade
A história da carta achada no esgoto que levou Deolane Bezerra para a prisão,"Uma
investigação que começou com um achado incomum dentro de uma penitenciária
paulista acabou levando a uma megaoperação contra um gigantesco esquema de
lavagem de dinheiro ligado ao Primeiro Comando...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

Uma investigação que começou com um achado incomum dentro de uma penitenciária paulista acabou levando a uma megaoperação contra um gigantesco esquema de lavagem de dinheiro ligado ao Primeiro Comando da Capital (PCC).

Pedaços de uma carta encontrada no sistema de esgoto de uma unidade prisional em Presidente Venceslau, no interior de São Paulo foram a primeira peça de uma apuração iniciada há sete anos e que resultou na Operação Vérnix.

Durante a ação, policiais penais encontraram cartas e bilhetes descartados no sistema de esgoto da unidade. As equipes recolheram o material e o encaminharam ao Grupo de Atuação Especial de Repressão ao Crime Organizado, que passou a atuar em conjunto com a Polícia Civil do Estado de São Paulo.

A partir da análise dos documentos, os investigadores identificaram movimentações suspeitas que resultaram na abertura de três inquéritos policiais.

A ação realizada nesta quinta-feira (21) cumpriu mandados de prisão e busca contra suspeitos de participação no esquema investigado.

Entre os alvos a influenciadora Deolane Bezerra, além de familiares ligados ao entorno de Marcos Camacho, o Marcola, apontado pelas autoridades como uma das principais lideranças do PCC.

A tal carta achada no esgoto fazia menção a uma transportadora que tinha sede ao lado da penitenciária. Os investigadores descobriram que se tratava de uma empresa de fachada, usada para lavar dinheiro vindo do crime organizado. O casal que é dono da transportadora está sendo procurado pela Justiça. Depois da quebra dos sigilos bancários da empresa, foram encontrados repasses para Deolane. Segundo o delegado Edmar Caparroz, existia um “oceano de lavagem de dinheiro”.

Além das movimentações financeiras, a Polícia descobriu outros indícios de que a influenciadora estaria ligada ao crime organizado. Um deles, por exemplo, é o fato de",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83243/a-historia-da-carta-achada-no-esgoto-que-levou-deolane-bezerra-para-a-prisao,jornaldacidade
Lula sofre novas derrotas no Congresso e placar é vexatório,"O Congresso
Nacional derrubou nesta quinta-feira quatro vetos de Lula à Lei de Diretrizes
Orçamentárias (LDO) de 2026.

Um dos
trechos da lei, que agora passa a valer, permite a doação de bens, valore...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

O Congresso Nacional derrubou nesta quinta-feira quatro vetos de Lula à Lei de Diretrizes Orçamentárias (LDO) de 2026.

Um dos trechos da lei, que agora passa a valer, permite a doação de bens, valores ou benefícios pela administração pública nos três meses antes das eleições, nas situações em que há encargo para quem recebe.

Outro ponto restabelecido autoriza municípios inadimplentes de até 65 mil habitantes a receber recursos federais.

Ainda foi liberado o uso de recursos federais para a construção e a manutenção de rodovias estaduais e municipais destinadas à integração de modais de transporte ou ao escoamento produtivo e para as despesas relativas à malha hidroviária brasileira.

Porém, o placar mais elástico foi registrado na derrubada do veto sobre o repasse de verbas aos municípios inadimplentes: 500 votos favoráveis e 22 contrários, além de sete brancos e uma abstenção.

Lula tentou esconder, mas sua verdadeira face foi exposta. Detalhes e revelações do passado do petista estão no livro ""O Homem Mais Desonesto do Brasil - A verdadeira face de Luiz Inácio Lula da Silva"". Aproveite enquanto é tempo. Clique no link abaixo:

https://www.conteudoconservador.com.br/products/a-maquina-contra-o-homem-como-o-sistema-tentou-destruir-um-presidente-e-despertou-uma-nacao

Veja a capa:",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83242/lula-sofre-novas-derrotas-no-congresso-e-placar-e-vexatorio,jornaldacidade
"Aldo Rebelo depois de perder a condição de pré-candidato à presidência, leva o castigo definitivo do DC","O
ex-ministro Aldo Rebelo era até então o pré-candidato à presidência do partido
Democrata Cristão (DC). Levou uma verdadeira rasteira que culminou com a troca
de sua candidatura pela do ex-ministro d...","O ex-ministro Aldo Rebelo era até então o pré-candidato à presidência do partido Democrata Cristão (DC). Levou uma verdadeira rasteira que culminou com a troca de sua candidatura pela do ex-ministro do Supremo Tribunal Federal (STF), Joaquim Barbosa. Difícil saber qual dos dois eleitoralmente é pior.

De qualquer forma, Aldo Rebelo ficou indignado e passou a detonar a cúpula partidária do DC. Pois bem, acaba de receber um novo e definitivo castigo: Processo disciplinar para expulsão.

“Diante do esgotamento das diversas tentativas de resolução harmoniosa, a Direção Nacional do DC delibera pela abertura imediata de procedimento disciplinar. Tal medida resultará em sua expulsão sumária”, diz o comunicado divulgado nesta quinta (21).

A decisão da presidência do DC aprofunda ainda mais o racha partidário deflagrado após a filiação do ex-ministro Joaquim Barbosa para disputar o Palácio do Planalto em 2026. O anúncio do presidente da sigla, o ex-deputado João Caldas, pegou de surpresa os dirigentes estaduais e o próprio Aldo Rebelo, que já havia sido lançado como presidenciável em janeiro deste ano.

Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao

SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83241/aldo-rebelo-depois-de-perder-a-condicao-de-pre-candidato-a-presidencia-leva-o-castigo-definitivo-do-dc,jornaldacidade
"O débil protesto dos estudantes da USP: A turma que culpa o ""sistema capitalista"" pela concentração de renda quer mais dinheiro...","O orçamento
de 2026 para as universidades públicas paulistas é de R$ 16,7 bilhões, para
manter 189 mil alunos, o que resulta em um gasto de cerca de R$ 88 mil por
aluno por ano, ou R$ 7.300/ mês, valo...","O orçamento de 2026 para as universidades públicas paulistas é de R$ 16,7 bilhões, para manter 189 mil alunos, o que resulta em um gasto de cerca de R$ 88 mil por aluno por ano, ou R$ 7.300/ mês, valor próximo da mensalidade das melhores universidades privadas.

O mesmo orçamento do Estado de São Paulo prevê gastos de R$ 3 bilhões para as escolas de nível médio técnico, uma ilha de excelência dentro do universo das escolas públicas paulistas. Considerando um total de 224 mil alunos nessas escolas, temos um gasto médio de R$ 13 mil por aluno/ano, ou pouco mais de R$ 1 mil/mês. Assim, o gasto por aluno das universidades públicas paulistas é quase 7 vezes superior ao gasto com o aluno da ilha de excelência da rede pública fundamental paulista. Imagine o resto da rede.

Esses números introduzem o assunto de hoje. Matéria do Estadão mostra que 1/3 dos professores da rede pública brasileira do ensino fundamental não atinge o nível de proficiência necessária para dar aulas. E olha que a barra é baixa, basta tirar 5 na prova. Na reportagem não há estratificação por unidade da federação, mas podemos imaginar que os professores de São Paulo se saiam um pouco melhor do que a média brasileira. Mesmo assim, trata-se de um número horroroso.

Na mesma página, há o registro de uma manifestação de “estudantes” da USP em greve. Eu estava lá. Era no horário de volta para casa, cerca de seis da tarde. O trânsito ficou travado na Faria Lima, e se via as pessoas descendo dos ônibus e caminhando a pé em direção à estação do metrô. Eram trabalhadores que só queriam descansar depois de um dia de labuta e, em sua imensa maioria, certamente não tiveram o privilégio de estudar na USP. Pelo contrário, eram oriundos desse sistema falido de ensino fundamental público.

Enquanto isso, os “estudantes” da USP protestam porque querem mais, os R$ 7 mil/mês não são suficientes. São os mesmos que vão culpar o “sistema capitalista” pela concentração de renda no país.

Marcelo Guterman. Engenheiro de Prod",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83240/o-debil-protesto-dos-estudantes-da-usp-a-turma-que-culpa-o-equotsistema-capitalistaequot-pela-concentracao-de-renda-quer-mais-dinheiro,jornaldacidade
Melhores Opções de Cassino Com Baixo Depósito Para Jogadores Casuais,"Stablecoins emergiram como o método de pagamento de crescimento mais rápido em cassinos online durante 2026, eliminando a barreira de volatilidade que mantinha jogadores casuais afastados. USDT e USDC...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

Stablecoins emergiram como o método de pagamento de crescimento mais rápido em cassinos online durante 2026, eliminando a barreira de volatilidade que mantinha jogadores casuais afastados. USDT e USDC agora respondem por 18% dos depósitos globais, crescendo 340% ano a ano. Esta evolução criou acessibilidade para jogadores casuais aqui em Passo Fundo e em todo o Brasil que anteriormente enfrentavam altos depósitos mínimos ou processamento bancário lento.

A mudança importa porque jogadores casuais representam o segmento de crescimento mais rápido globalmente, mas enfrentam barreiras estruturais em plataformas otimizadas para alto volume. A integração de stablecoin junto com depósitos mínimos baixos criou condições onde orçamentos mensais de R$ 50 desbloqueiam participação significativa.

Adoção de Stablecoin Reduziu Barreiras de Entrada

Depósitos tradicionais em criptomoeda exigiam Bitcoin ou Ethereum, expondo jogadores a flutuações reduzindo bankroll em 15-20% entre depósito e saque. Este risco dissuadiu jogadores casuais que não podiam absorver perdas do movimento de preço. USDT e USDC resolvem isso mantendo paridade 1:1 com o dólar, entregando velocidade sem especulação.

As principais plataformas reconheceram a oportunidade. Opções de plataforma de 5 bet como Stake e BetMGM processam depósitos USDT tão baixos quanto $5, liquidando em segundos comparado aos 1-3 dias úteis bancários. Br4Bet aceita mínimos de R$ 1 via Pix enquanto Multibet e bet365 habilitam pontos de entrada de R$ 5 com liquidação instantânea. Esta combinação democratizou o acesso globalmente.

Mínimos Baixos Criaram Experimentação Sem Risco

Plataformas historicamente estabeleciam depósitos mínimos de R$ 50 a R$ 100, forçando jogadores casuais a comprometer orçamentos excedendo níveis confortáveis. Mínimos baixos resolveram este problema. O mínimo de ",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83239/melhores-opcoes-de-cassino-com-baixo-deposito-para-jogadores-casuais,jornaldacidade
