titulo,subtitulo,texto,data,url,portal,vies_politico,justificativa_llm
"Vorcaro bancou ao menos três viagens internacionais de Ciro Nogueira, diz PF","Investigação cita hotéis, restaurantes de “elevado padrão” e até roupas de frio","A Polícia Federal afirmou ter indícios de que o banqueiro Daniel Vorcaro custeou ao menos três viagens internacionais do senador Ciro Nogueira (foto), presidente do Progressistas. As informações fazem parte da investigação da Operação Compliance Zero.

Segundo a PF, a primeira viagem ocorreu em abril de 2024, para Paris. Registros analisados pelos investigadores apontam a presença de Ciro Nogueira na capital francesa durante a estadia.

00:00 / 01:00 oantagonista fullScreen

No mês seguinte, o senador e Vorcaro teriam viajado juntos para Nova York.

Nunca foi tão fácil estar bem informado Siga nosso canal no WhatsApp Inscreva-se

De acordo com a investigação, o banqueiro bancou hospedagem em hotel de luxo e despesas em restaurantes de “elevado padrão” durante a passagem pela cidade americana.

A PF afirma ter reunido comprovantes de transferências, registros de viagens e mensagens relacionadas aos deslocamentos.

Os investigadores também apontam uma terceira viagem, realizada em janeiro de 2025, para Courchevel, nos Alpes Franceses. Segundo a apuração, Vorcaro teria pago até as roupas de frio usadas pelo senador durante a viagem à estação de esqui.

Leia mais: Operação da PF que mirou Ciro Nogueira mina delação de Vorcaro

“Tentativa de manchar minha honra pessoal”

Ciro Nogueira se manifestou nesta sexta-feira, 8, sobre a busca e apreensão realizada pela PF contra ele no âmbito da quinta fase da Operação Compliance Zero.

Segundo o parlamentar, houve, com o episódio, uma “tentativa de manchar sua honra pessoal”. A afirmação foi feita por meio de publicação no Instagram.

“Sobre a tentativa de manchar a minha honra pessoal que aconteceu nessa semana, vale lembrar algo: Todo ano político é a mesma coisa. Tentam parar de todas as formas quem lidera as pesquisas de intenção de votos. Isso aconteceu comigo em 2018, faltando 15 dias para a eleição. Mas o povo do Piauí sentiu a perseguição política e o efeito foi contrário: crescemos 6 pontos na pesquisa e vencemos aquela eleição”, escreveu.

“Na primeira tentativa de me parar, o devido processo legal apurou as ilações e mentiras contra mim e ficou comprovada a minha inocência. Mas fica uma pergunta: quem devolve a honra de uma pessoa depois de um ataque tão maligno e sem fundamentos como esse?”.

Compliance Zero

A quinta fase da Compliance Zero foi autorizada pelo ministro André Mendonça, do Supremo Tribunal Federal (STF).

Segundo informações da Polícia Federal, Ciro Nogueira é suspeito de ter recebido recurs",2026-05-09 11:16,https://oantagonista.com.br/brasil/vorcaro-bancou-ao-menos-tres-viagens-internacionais-de-ciro-nogueira-diz-pf/,OAntagonista,NEUTRO,"** A notícia apresenta um relato objetivo sobre uma investigação da Polícia Federal e a participação de um senador em viagens internacionais custeadas por um banqueiro, mas sem juízo de valor sobre as implicações políticas ou éticas."
"“Eu não tenho esse direito”, diz Mendonça ao falar sobre privilegiar amigos","Em sessão solene na Alesp, ministro do STF reforçou compromisso com a imparcialidade","O ministro do Supremo Tribunal Federal (STF), André Mendonça, afirmou, nesta segunda-feira, 6, que não pode “privilegiar” aliados nem perseguir adversários no exercício da função pública. A declaração foi feita durante sessão solene na Assembleia Legislativa de São Paulo (Alesp), em que o magistrado foi homenageado.

“Imparcialidade é você olhar para as pessoas de modo igualitário. É você considerar os interesses envolvidos de forma tecônime. É você não privilegiar amigos. É você não perseguir inimigos“, disse.

00:00 / 01:00 oantagonista fullScreen

O ministro também mencionou críticas recorrentes sobre possíveis influências externas em decisões judiciais.“Eu vejo a imprensa falar, porque ali tem uma proximidade religiosa, porque ali tem uma proximidade histórica, porque ali não agiam corretamente com ele em determinado momento, ele vai beneficiar A e vai prejudicar B“.

Nunca foi tão fácil estar bem informado Siga nosso canal no WhatsApp Inscreva-se

Em resposta a esse tipo de leitura, Mendonça rejeitou qualquer favorecimento.“Eu não tenho esse direito. A missão que me foi investida não me dá esse direito. Seja missão pública, seja a minha fé. Aliás, eu fui ensinado a orar pelos que me perseguem, para abençoar, inclusive, a esses.”

Ele ainda reforçou o compromisso pessoal com a imparcialidade, apesar de limitações humanas, e afirmou que agentes públicos não estão livres de erros ou de interpretações equivocadas. “É um compromisso que faço, mesmo sendo imperfeito, eu vou buscar ser imparcial (…). O bom magistrado, o bom homem público precisa ser íntegro. Não é que nós somos imunes a erros, a equívocos, a estar numa situação que, em alguma medida, possa gerar uma falta de compreensão“.

Segundo ele, situações do cotidiano podem gerar dúvidas na sociedade, mesmo sem relação direta, e destacou limites claros de conduta pessoal e profissional.

“Nós não estamos imunes a incompreensões, mas nós precisamos estar imunes a ações que comprometam, de forma substancial, de forma voluntária, de forma consciente. A credibilidade que a sociedade espera de um bom magistrado. O bom magistrado precisa ter um grau de prudência maior“, destacou.

Na sequência, fez um alerta sobre o uso do poder. “A cadeira que nós ocupamos, cada um de nós, nos dá muito mais responsabilidade do que poder. E o problema é quando nós confundimos isso. É o princípio da nossa queda”.

“Bessias” no STF

Ainda durante a cerimônia, Mendonça também mencionou o ministro-chefe da Advocacia-Geral da Un",2026-04-07 11:37,https://oantagonista.com.br/brasil/eu-nao-tenho-esse-direito-diz-mendonca-ao-falar-sobre-privilegiar-amigos/,OAntagonista,DIREITA,"** A notícia apresenta uma citação crítica do ministro do STF André Mendonça feita por um veículo de Direita, com o objetivo de deslegitimar a imparcialidade do magistrado."
"“Eleição se resolve no voto, não na canetada”, diz Flávio a Fachin sobre Rio",Senador sugere que decisão de Zanin ao manter Ricardo Couto como governador favorece grupo aliado a Lula,"O senador e pré-candidato Flávio Bolsonaro (PL-RJ) cobrou o presidente do Supremo Tribunal Federal (STF), Edson Fachin, após o ministro Cristiano Zanin decidir que o presidente do Tribunal de Justiça do Rio (TJ-RJ), Ricardo Couto, deve permanecer como governador em exercício até a conclusão do julgamento sobre o modelo das eleições para o Executivo fluminense.

Em postagem no X, o senador levantou a hipótese de uma eventual viagem de Couto ao exterior e questionou quem assumiria o comando do estado nessa situação.

00:00 / 01:00 oantagonista fullScreen

Flávio também sugeriu que decisões do STF estariam beneficiando o ex-prefeito do Rio, Eduardo Paes (PSD), aliado do presidente Lula.

Nunca foi tão fácil estar bem informado Siga nosso canal no WhatsApp Inscreva-se

“Uma pergunta sincera ao Presidente do STF: Se o governador em exercício do RJ, Ricardo Couto (presidente do TJRJ) viajar para o exterior quem assume o Governo do Estado? Ministro Edson Fachin, não deixe que a Corte inteira fique sob suspeita de estar atuando para beneficiar o candidato de Lula“, escreveu no X.

E acrescentou: “Esse modus operandi de alguns é abjeto. O Rio de Janeiro não merece isso! Constituição se cumpre. E eleição se resolve no voto, não na canetada“.

Douglas Ruas

A manifestação de Flávio ocorreu após Zanin negar pedido da Assembleia Legislativa do Rio (Alerj) para que o deputado estadual Douglas Ruas (PL) assumisse imediatamente o governo interino após sua posse como presidente da Casa.

Na decisão, o ministro reiterou que a eleição de Ruas para a presidência da Alerj não altera o entendimento anterior do STF, que manteve Couto à frente do Executivo estadual de forma interina.

O posicionamento foi reforçado após o diretório estadual do PSD acionar o ministro para reiterar a decisão. Zanin afirmou que não havia “nada a ser atendido”, uma vez que a permanência de Couto decorre de decisão colegiada do Supremo, e não de um entendimento individual.

Zanin decidiu que não havia “nada a ser atendido” do PSD já que Couto está como governador interino do Estado em razão de uma decisão colegiada do STF – e não uma decisão individual.

O ministro lembrou ainda que, ao suspender o julgamento sobre as eleições no estado, o STF determinou que o presidente do TJ-RJ seguiria no exercício do cargo até nova deliberação da Corte.

Além disso, Zanin ressaltou que a eleição de Ruas para comandar a Alerj está sendo contestada no Supremo. O PDT pediu a anulação do pleito, alegando irregularidad",2026-04-24 21:20,https://oantagonista.com.br/brasil/eleicao-se-resolve-no-voto-nao-na-canetada-diz-flavio-a-fachin-sobre-rio/,OAntagonista,DIREITA,"** O texto destaca críticas de um senador da direita ao presidente do STF e a uma decisão judicial que favorece o grupo aliado ao ex-presidente Lula, o que indica um viés ideológico conservador."
"Nunca entregue seus documentos fora do carro, veja o que a lei permite durante uma abordagem de trânsito no Brasil","Em uma abordagem de trânsito, muita gente fica nervosa, age no automático e só depois se pergunta se fez certo. É justamente nesse momento que surgem dúvidas sobre entregar documento pela janela, sair do veículo ou passar CNH e CRLV para alguém fora do carro. A lei brasileira exige cooperação com a fiscalização, mas isso...","Em uma abordagem de trânsito, muita gente fica nervosa, age no automático e só depois se pergunta se fez certo. É justamente nesse momento que surgem dúvidas sobre entregar documento pela janela, sair do veículo ou passar CNH e CRLV para alguém fora do carro. A lei brasileira exige cooperação com a fiscalização, mas isso não significa agir sem atenção. No dia a dia, entender o que vale em uma fiscalização de trânsito ajuda a evitar erro, excesso de confiança e também interpretações apressadas sobre o que o condutor realmente deve fazer.

O que a lei realmente exige do motorista durante uma abordagem?

O ponto central é simples. O condutor deve apresentar os documentos obrigatórios quando solicitado e colaborar com a fiscalização. O CTB trata a CNH e o licenciamento como documentos de porte obrigatório, embora o porte possa ser dispensado se a verificação ocorrer por sistema informatizado no momento da checagem.

00:00 / 01:00 oantagonista fullScreen

Na prática, isso significa que o motorista não pode simplesmente se recusar a se identificar ou dificultar o procedimento. Ao mesmo tempo, a legislação não traz uma regra geral dizendo que os documentos precisam ser entregues fora do carro como condição automática em toda abordagem. O dever principal é permitir a conferência regular dos dados e seguir a orientação funcional do agente no contexto da abordagem.

Nunca foi tão fácil estar bem informado Siga nosso canal no WhatsApp Inscreva-se

Algumas regras precisam ser seguidas na abordagem

Precisa sair do carro para entregar CNH e CRLV?

De forma geral, não existe no Código de Trânsito Brasileiro uma regra dizendo que o motorista sempre deve sair do veículo só para entregar documento. Em abordagens comuns, é usual que a apresentação ocorra no próprio veículo, inclusive com documento físico ou digital, desde que a conferência seja possível.

O que muda é o cenário concreto. Em determinadas situações, o agente pode dar instruções por motivo de segurança operacional, posição do veículo, risco na via ou necessidade de verificação adicional. Nesses casos, o foco não está em “entregar fora do carro” como obrigação legal isolada, mas em cumprir ordem funcional compatível com a abordagem. Confundir isso com uma liberdade total para negar apresentação de documento costuma gerar problema desnecessário.

Quais documentos e cuidados fazem mais diferença na hora da abordagem?

Na rotina, boa parte do atrito acontece menos pela lei e mais pela pressa, pelo nervosismo e pel",2026-04-13 08:30,https://oantagonista.com.br/brasil/nunca-entregue-seus-documentos-fora-do-carro-veja-o-que-a-lei-permite-durante-uma-abordagem-de-transito-no-brasil/,OAntagonista,NEUTRO,Não identificada.
PGR defende eleição direta no Rio,"STF vai julgar duas ações relacionadas ao pleito nesta quarta, 8","A Procuradoria-Geral da República (PGR) se manifestou nesta terça, 7, a favor da realização de uma eleição direta para a escolha de um novo governador do Rio de Janeiro em caráter de “mandato-tampão” até o fim de 2026.

A posição foi apresentada na véspera do julgamento no Supremo Tribunal Federal (STF), que analisará duas ações sobre o tema. Os ministros decidirão se a sucessão deve ocorrer por meio de eleição indireta, pela Assembleia Legislativa, ou direta, com voto popular.

00:00 / 01:00 oantagonista fullScreen

A PGR entende que, mesmo com a renúncia do ex-governador Cláudio Castro (PL) na véspera do julgamento no Tribunal Superior Eleitoral (TSE) que cassou seu mandato, a vacância se deu por motivo eleitoral.

Nunca foi tão fácil estar bem informado Siga nosso canal no WhatsApp Inscreva-se

“A compreensão de que houve reconhecimento de abuso de poder com a declaração de inelegibilidade e a cassação do diploma (não efetivada porque faticamente não detinha mais mandato na conclusão do julgamento) de Cláudio Castro evidencia que, no caso, houve uma vacância por consequência de decisão da Justiça Eleitoral”, diz o parecer assinado pelo vice-procurador-geral Eleitoral, Alexandre Espinosa.

Com esse entendimento, a PGR sustenta a aplicação da regra do Código Eleitoral, que prevê a convocação de eleições diretas, quando o afastamento dos dirigentes ocorrer por motivo eleitoral a menos de seis meses do fim do mandato.

Castro deixou o governo em 23 de março, um dia antes do TSE retomar o julgamento que resultou na cassação de seu mandato e na inegibilidade por oito anos.

Leia também: Justiça do Rio anula sessão que elegeu novo presidente da Alerj

Eleição suplementar

O Rio vive uma inédita vacância no cargo de governador.

Antes de Cláudio Castro renunciar e ser declarado inelegível pelo Tribunal Superior Eleitoral (TSE), o seu vice, Thiago Pampolha (MDB), foi nomeado conselheiro do Tribunal de Contas do Estado (TCE-RJ), em maio do ano passado.

Terceiro da linha sucessória, o presidente da Alerj, Rodrigo Bacellar, foi afastado do cargo pelo ministro Alexandre de Moraes, do Supremo Tribunal Federal (STF), por suposto vazamento de informações sigilosas para beneficiar o Comando Vermelho. Bacellar também teve o mandato cassado pelo TSE.

Sem governador e sem vice, a Constituição exige uma nova eleição para completar o período restante do mandato – até 31 de dezembro de 2026.

O que o STF vai analisar?

O STF analisa dispositivos de uma lei aprovada pela Ale",2026-04-07 18:10,https://oantagonista.com.br/brasil/pgr-defende-eleicao-direta-no-rio/,OAntagonista,ESQUERDA,Não identificada.
Alcolumbre previu derrota de Messias antes do resultado: “Vai perder por oito”,Presidente do Senado sussurrou projeção a Jaques Wagner antes do placar ser aberto,"O presidente do Senado Federal, Davi Alcolumbre (União-AP), sussurrou no ouvido do senador Jaques Wagner (PT-BA) sua previsão da derrota do advogado-geral da União, Jorge Messias, indicado ao Supremo Tribunal Federal (STF).

“Vai perder por oito”, disse Alcolumbre, antes do placar ser aberto.

00:00 / 01:00 oantagonista fullScreen

Com a divulgação do resultado, a projeção se confirmou: Messias foi rejeitado por oito votos de diferença, com 42 contrários e 34 favoráveis à indicação.

Nunca foi tão fácil estar bem informado Siga nosso canal no WhatsApp Inscreva-se

Votação

Antes da votação no plenário, a indicação feita por Lula havia sido aprovada pela CCJ do Senado, por 16 votos a 11.

O placar no colegiado foi concluída após sabatina, em que Messias falou sobre diferentes temas.

Ele disse que o 8 de janeiro de 2023 “foi um dos episódios mais tristes da história recente“. Segundo o parlamentar ainda, os atos daquela data fizeram “muito mal ao país“.

O sabatinado se manifestou contra o aborto, a favor da liberdade de imprensa e até criticou abusos do Poder Judiciário. Ao menos dois ministros do governo acompanharam a sabatina presencialmente: José Múcio, da Defesa, e Wellington Dias, do Desenvolvimento Social.

O presidente nacional do Republicanos, deputado federal Marcos Pereira (Republicanos-SP), também compareceu.

Articulações

Lula indicou Messias ao STF em novembro do ano passado, na vaga aberta com a aposentadoria de Luís Roberto Barroso, mas a mensagem presidencial com a indicação só chegou ao Senado em 1º de abril deste ano.

O governo federal demorou quatro meses para enviar a indicação ao Senado, após a publicação dela no Diário Oficial da União. O Executivo aproveitou o tempo para tentar uma maior aceitação do nome de Messias entre os senadores. Ainda assim, o indicado enfrentou bastante resistência.

O presidente do Senado, Davi Alcolumbre (União-AP), preferia que o petista tivesse indicado o senador Rodrigo Pacheco (PSB-MG).

Como mostramos, nas conversas com senadores na manhã desta quarta, Alcolumbre liberou seus aliados a votar contra a indicação de Jorge Messias.

O presidente do Senado se demonstrou extremamente incomodado com movimentos protagonizados por Messias e alguns de seus aliados, como o ministro do Supremo André Mendonça. O parlamentar se irritou com o vazamento da informação sobre o encontro secreto tido entre ele e Messias na residência do ministro Cristiano Zanin na semana passada. Para Alcolumbre, teria sido o próprio M",2026-04-30 00:16,https://oantagonista.com.br/brasil/alcolumbre-previu-derrota-de-messias-antes-do-resultado-vai-perder-por-oito/,OAntagonista,ESQUERDA,"** A notícia destaca o posicionamento crítico do senador Davi Alcolumbre em relação ao advogado-geral da União, Jorge Messias, e sugere que a derrota de Messias foi uma consequência natural da sua gestão na AGU."
Michelle vai barrar candidatura de Mário Frias ao Senado?,"Antigo desafeto de Mário Frias, a ex-primeira-dama Michelle Bolsonaro (PL) teria vetado a candidatura do ator e ex-secretário de Cultura ao Senado por São Paulo, segundo a Folha de S.Paulo. A escolha do candidato, no entanto, depende do aval do ex-deputado Eduardo Bolsonaro, seguindo um entendimento interno do partido. O presidente nacional do PL, Valdemar...","Antigo desafeto de Mário Frias, a ex-primeira-dama Michelle Bolsonaro (PL) teria vetado a candidatura do ator e ex-secretário de Cultura ao Senado por São Paulo, segundo a Folha de S.Paulo.

A escolha do candidato, no entanto, depende do aval do ex-deputado Eduardo Bolsonaro, seguindo um entendimento interno do partido.

00:00 / 01:00 oantagonista fullScreen

O presidente nacional do PL, Valdemar Costa Neto, confirmou que a legenda chegou a um consenso em torno da candidatura de André do Prado, presidente da Assembleia Legislativa de São Paulo (Alesp).

Nunca foi tão fácil estar bem informado Siga nosso canal no WhatsApp Inscreva-se

“Tudo se encaminha para ser André do Prado. O anúncio vai depender de Eduardo, será mais para a frente”, disse o presidente nacional do PL ao jornal O Globo, após se encontrar com o filho 03 de Jair Bolsonaro no Texas.

Também corre por fora na disputa o vice-prefeito de São Paulo, Ricardo Mello Araújo.

Consenso no PL paulista

Pesa a favor de André do Prado o apoio majoritário da bancada do PL na Alesp.

O parlamentar também é visto como um nome menos ideológico para compor a chapa encabeçada pelo governador Tarcísio de Freitas (Republicanos).

O outro candidato ao Senado na chapa será o ex-secretário de Segurança Pública de São Paulo Guilherme Derrite (PP).

Mário Frias x Michelle

Em abril de 2025, o deputado Mário Frias afirmou que “ladainha da inclusão deve ser eliminada da direita”.

Contudo, a pauta da inclusão é uma das bandeiras de Michelle Bolsonaro, pré-candidata ao Senado pelo Distrito Federal e presidente do PL Mulher.

Na ocasião, a esposa de Jair Bolsonaro publicou um vídeo em repúdio a Frias e defendeu a acessibilidade.

Disputa ao Senado por São Paulo

As ex-ministras Marina Silva (Rede), do Meio Ambiente, e Simone Tebet (PSB), do Planejamento e Orçamento, lideram a disputa ao Senado no estado de São Paulo, conforme levantamento do Instituto Paraná Pesquisas divulgado na quinta-feira, 16.

Marina lidera em todos os cenários pesquisados.

Ela tem 37,8% das intenções de voto, e Tebet, 32,9%. O ex-secretário de Segurança Pública de São Paulo Guilherme Derrite (PP) vem em terceiro lugar, com 27,4%, seguido por Ricardo Salles (Novo), com 19,2%; Paulinho da Força (Solidariedade), 15,1%; e André do Prado, o possível candidato do PL, 9,8%.

Brancos, nulos e indecisos somam 19,2%.",2026-04-24 12:49,https://oantagonista.com.br/brasil/michelle-vai-barrar-candidatura-de-mario-frias-ao-senado/,OAntagonista,INDEFINIDO,Não identificada.
"“Será que ele será imparcial?”, questiona Nikolas sobre Messias no STF",Deputado do PL critica Jorge Messias e cobra posicionamento público de senadores sobre votação secreta no Senado,"O deputado federal Nikolas Ferreira (PL-MG) criticou a indicação de Jorge Messias ao Supremo Tribunal Federal (STF) e passou a pressionar senadores a se posicionarem publicamente antes da votação no plenário, que será secreta. Em vídeo divulgado nas redes sociais, nesta quarta-feira, 29, o parlamentar questionou a imparcialidade do indicado e associou sua trajetória à atuação do governo Lula.

Nikolas mencionou o episódio da Operação Lava Jato que deu ao indicado o apelido de “Bessias”, após diálogo envolvendo a ex-presidente Dilma Rousseff e Lula. “Uma manobra para dar a Lula foro privilegiado e blindá-lo das investigações”, disse.

00:00 / 01:00 oantagonista fullScreen

O deputado também direcionou críticas à relação entre o indicado e o presidente. “É mais um amigo do Lula sendo indicado para o STF”, afirmou. Em outro trecho, acrescentou: “O tribunal deveria guardar a Constituição e ser imparcial”.

Nunca foi tão fácil estar bem informado Siga nosso canal no WhatsApp Inscreva-se

O parlamentar também mencionou posicionamentos de Messias à frente da Advocacia-Geral da União (AGU). Ao tratar de manifestação sobre resolução do Conselho Federal de Medicina, afirmou: “Mas como alguém que se disse é contra o aborto, pode assinar o parecer facilitando sua prática?”, questionou.

Outro ponto citado foi a transparência na AGU. Segundo Nikolas, dados deixaram de ser divulgados por meses. “Um dado que qualquer cidadão podia consultar todo mês no portal da transparência simplesmente desapareceu. “Nesse período, os pagamentos somaram R$ 2,5 bilhões, e a justificativa foi a incompatibilidade de sistemas”, pontuou.

Nikolas também citou a produção acadêmica de Messias para questionar sua independência e parcialidade. Segundo o deputado, o nome do presidente aparece diversas vezes no trabalho. “O nome de Lula aparece 54 vezes em sua tese de doutorado”, afirmou.

Ao final, o deputado reforçou a pressão sobre os senadores e disse que, diante do sigilo da votação, a única forma de dar transparência ao processo é a manifestação antecipada dos parlamentares. “O senador que aprovar essa indicação estará dizendo sim para tudo isso”.



Nikolas defendeu que aqueles que são contrários ao nome de Jorge Messias tornem isso público antes da votação. Em seguida, retomou o questionamento central: “Será que ele vai ser imparcial? Será?. O povo brasileiro não esquecerá”, concluiu,",2026-04-29 12:52,https://oantagonista.com.br/brasil/sera-que-ele-sera-imparcial-questiona-nikolas-sobre-messias-no-stf/,OAntagonista,DIREITA,"** A notícia apresenta um tom crítico e questionador em relação à indicação de Jorge Messias ao STF, destacando suas supostas ligações com o governo Lula e sua possível falta de imparcialidade. Isso sugere uma abordagem conservadora e contrária às ideias progressistas."
"Fux defende Rio após “descrédito generalizado” e cita Master, INSS e Lava Jato",Ministro do STF rebateu generalização e apontou falta de participação de colegas em julgamentos de casos nacionais,"Nascido no Rio de Janeiro, o ministro Luiz Fux, do Supremo Tribunal Federal (STF), saiu em defesa do estado durante o julgamento sobre o modelo para as eleições do mandato-tampão.

Após críticas de colegas à política fluminense, Fux reagiu e afirmou que eventuais responsabilizações não se restringem ao Rio. Segundo ele, se agentes públicos tiverem que “ir para o inferno”, irão “acompanhados de altas autoridades”.

00:00 / 01:00 oantagonista fullScreen

No comentário, o ministro acrescentou que a “perplexidade não seria tão grande” se os colegas “tivessem participado dos julgamentos” dos escândalos Mensalão, Lava-Jato, INSS e Banco Master.

Nunca foi tão fácil estar bem informado Siga nosso canal no WhatsApp Inscreva-se

“Eu sou carioca de nascença e eu verifiquei que houve uma manifestação de profundo descrédito ao Rio de Janeiro de forma generalizada. Acredito que muitos assim o fizeram porque ingressaram no Supremo em época posterior. Mas essa perplexidade não seria tão grande se colegas tivessem participado do julgamento do mensalão, da Lava-Jato, desse julgamento agora do INSS e do Banco Master. Porque os escândalos não são concentrados no estado do Rio. Há bons políticos no estado, que representam o estado na Câmara Federal. Se esses políticos tiverem que ir pro inferno vão acompanhados de altas autoridades”, afirmou.

Dino pede vista

O ministro Flávio Dino, do Supremo Tribunal Federal (STF), pediu vista nesta quinta-feira, 9, do julgamento sobre as ações do PSD em relação à eleição para o mandato tampão de governador e vice-governador do Rio de Janeiro.

Apesar do pedido de vista, o ministro André Mendonça antecipou o seu voto para acompanhar a divergência de Luiz Fux em favor de voto secreto e o prazo de 24 horas para desincompatibilização de candidatos após a renúncia.

Já o ministro relator, Cristiano Zanin, afirmou que essas regras não se aplicam ao impasse gerado pela renúncia de Castro. Segundo o ministro, as regras para tal tipo de pleito devem ser o voto aberto e o prazo de 24 horas para desincompatibilização de candidatos, válidas somente para casos não eleitorais de renúncia — como morte ou saída do cargo por opção.

Além disso, Zanin também abriu a possibilidade de uma eleição única, a ser realizada em outubro. Segundo o ministro, a renúncia do ex-governador Cláudio Castro, às vésperas de sua condenação pelo Tribunal Superior Eleitoral (TSE), configurou uma tentativa de “burla” e não pode afastar as “consequências jurídicas reconhecidas” ",2026-04-09 20:15,https://oantagonista.com.br/brasil/fux-defende-rio-apos-descredito-generalizado-e-cita-master-inss-e-lava-jato/,OAntagonista,DIREITA,"** A notícia apresenta uma defesa do ministro Fux em relação ao estado do Rio de Janeiro, destacando críticas à generalização de responsabilidades e enfatizando a falta de participação de colegas no julgamento de casos nacionais."
Messias invoca Constituição como “código de ética” em sabatina para o Supremo,Indicado afirma que apoiará “qualquer medida de aperfeiçoamento do Poder Judiciário”,"O advogado-geral da União e sabatinado na Comissão de Constituição e Justiça (CCJ) do Senado, Jorge Messias, apontou a Constituição Federal como parâmetro central de sua atuação caso seja aprovado para o Supremo Tribunal Federal (STF). O indicado disse que a discussão está ligada à ampliação de transparência e prestação de contas no Judiciário.



“O Código de Ética e de Conduta é uma proposta que está colocada num contexto de aperfeiçoamento da transparência do Poder Judiciário, da prestação de contas ao Poder Judiciário”, afirmou.

Na sequência, detalhou as referências que, segundo ele, orientam sua conduta. “O meu primeiro código de ética está aqui. É a Constituição. Esta Constituição é o meu primeiro código de ética. O meu segundo código de ética é a minha formação de vida. O meu terceiro código de ética é o meu currículo”, acrescentou.

00:00 / 01:00 oantagonista fullScreen

Messias afirmou ainda que iniciativas voltadas ao fortalecimento institucional da Corte terão seu apoio dentro da previsão legal. “Qualquer medida de aperfeiçoamento do Poder Judiciário em benefício da sociedade, em benefício da confiança que a sociedade precisa depositar neste poder, que é um poder sem voto, terá em mim apoio total”, declarou.

Nunca foi tão fácil estar bem informado Siga nosso canal no WhatsApp Inscreva-se

O indicado também abordou o modelo de tomada de decisões no Supremo. “Dentro do Supremo Tribunal Federal, nós temos que construir as coisas de forma colegiada e de forma institucionalizada, respeitando as comissões regimentais”, afirmou.

Durante a resposta, Messias citou sua passagem pela Advocacia-Geral da União como referência na área. “Eu fui o primeiro advogado-geral da União, depois de 33 anos de criação da AGU, a aprovar o primeiro código de ética e de conduta da casa”, disse.

Ele afirmou que o processo foi conduzido com participação técnica e internamente. “Fiz isso de forma participativa, dialógica, respeitando todos os nossos advogados, mais de 8 mil no país”, concluiu.",2026-04-29 15:34,https://oantagonista.com.br/brasil/messias-invoca-constituicao-como-codigo-de-etica-em-sabatina-para-o-supremo/,OAntagonista,DIREITA,"** A notícia apresenta o advogado-geral da União e indicado para o STF, Jorge Messias, como um defensor das instituições e do Judiciário, destacando sua ligação à Constituição Federal como código de ética. No entanto, ao analisar o contexto editorial do veículo, percebe-se que a abordagem é favorável à ideologia conservadora."
