titulo,subtitulo,texto,data,url,portal,vies_politico,justificativa_llm
O maior crime contra a humanidade e o Brasil,Sobre o apagamento histórico da população negra e a persistência do racismo estrutural no Brasil contemporâneo,"Nesta semana, a ONU declarou o tráfico de africanos escravizados como o mais grave crime contra a humanidade. Uma declaração fundamental para todo o mundo.

Dessa vitória da humanidade, recupero a seguir um dos meus textos sobre a herança da escravidão, que no Brasil fazemos de conta nem existir.

Todas as vezes em que me debrucei sobre o tema do negro brasileiro, sempre encontrei obstáculos. O primeiro deles é que não existem negros no Brasil. Quero dizer, é muito mais que a sociedade fingir que os negros não sejam a maioria nacional. É mais que fingir. Na verdade, os negros não existem. Ou nem existimos como características físicas de cor escura, para ser mais preciso. Em dúvida, olhem as bancas de revistas, de jornais. Onde estão as capas com negros? Não há. Passeiem os olhos pelos canais de televisão, pelas lideranças empresariais, pelas direções de estatais, pelas universidades, pelos bairros limpos e confortáveis. Ao fim dessa mais leve ou refinada pesquisa, concluiremos: no Brasil, não existem negros.

Mas, apesar disso, devemos ir além das ilhas brancas do Brasil, esta grande cidade europeia, como uma nova Argentina. Então passemos pelos morros, favelas, prisões, faxineiros, operários e, principalmente, pelos trabalhadores de menor salário em todas as categorias. O que ocorre? Parece que o Brasil vira negro. Apenas parece, porque não há, até mesmo aí, uma consciência, um espelho onde o negro se veja como tal, inclusive nos lugares onde ele é majoritário. Com a devida exceção dos terreiros, quilombos e grupos de resistência, negros ainda são os outros. Se perguntássemos “aqui moram negros?”, muitos nos responderiam, incomodados: “aqui, não. Procure na favela mais distante”.

E por que isso se dá? Por que esse paradoxo de o Brasil ser uma das nações mais negras sem negros? Há um ditado popular, em sua infinita aspereza e flagrante da pré-história da gente, que diz: “pobre não gosta de pobre”. Ou, em uma versão adaptada: “negro não gosta de negro”. O que isso q",2026-03-27 13:31:36+00:00,https://www.brasil247.com/blog/o-maior-crime-contra-a-humanidade-e-o-brasil,brasil247,ESQUERDA,"** O texto apresenta uma narrativa que destaca a herança da escravidão e o racismo estrutural no Brasil contemporâneo, enfatizando a invisibilidade dos negros na sociedade brasileira. A abordagem crítica ao sistema de poder e à exclusão histórica dos negros é típica da narrativa de ESQUERDA."
Governo Lula zera imposto de importação de quase mil itens e amplia pacote econômico,Medida inclui medicamentos e insumos industriais e integra estratégia para reduzir custos e aumentar renda da população brasileira,"247 - O governo Lula (PT) anunciou a redução a zero do imposto de importação para quase mil produtos, incluindo medicamentos usados no tratamento de diabetes, Alzheimer, Parkinson e esquizofrenia, além de insumos agrícolas e industriais. A decisão foi tomada pelo Comitê-Executivo de Gestão da Câmara de Comércio Exterior (Gecex/Camex) e integra uma série de iniciativas voltadas à redução de custos e ao estímulo econômico.

A medida também contempla itens como fungicidas, inseticidas, insumos para a indústria têxtil, lúpulo para produção de cerveja e produtos voltados à nutrição hospitalar. Entre os beneficiados estão ainda 970 itens classificados como Bens de Capital (BK) e Bens de Informática e Telecomunicações (BIT), principalmente em casos em que não há produção nacional suficiente para atender à demanda interna. A iniciativa faz parte de uma estratégia mais ampla adotada desde 2023, sob a gestão do presidente Luiz Inácio Lula da Silva.

Redução de impostos como estratégia econômica

A decisão do Gecex se soma a outras políticas recentes voltadas à redução da carga tributária em setores estratégicos. Ainda neste mês de março, foi sancionada uma lei que amplia incentivos fiscais para a indústria química, setor responsável por cerca de 2 milhões de empregos diretos e indiretos e por 11% do PIB industrial brasileiro.

Outro exemplo é o envio ao Congresso Nacional de um projeto que prevê isenção do Imposto Sobre Serviços (ISS) para atividades relacionadas à Copa do Mundo Feminina da FIFA 2027. A proposta tem como objetivo impulsionar investimentos, fomentar o turismo e gerar empregos no país.

Impacto direto na renda da população

As mudanças tributárias também atingem diretamente os trabalhadores. Uma das principais medidas é a ampliação da faixa de isenção do Imposto de Renda para quem recebe até R$ 5 mil mensais, além de descontos progressivos para rendas de até R$ 7.350.

Na educação, os efeitos são expressivos: 73,5% dos professores da educação básica passam a se",2026-03-27 08:23:56+00:00,https://www.brasil247.com/economia/governo-lula-zera-imposto-de-importacao-de-quase-mil-itens-e-amplia-pacote-economico,brasil247,ESQUERDA,"** O texto apresenta uma narrativa que destaca a redução do imposto de importação como uma medida benéfica para a população brasileira, enfatizando a redução de custos e o estímulo econômico. A abordagem é mais alinhada com as pautas progressistas, focando na justiça social e no bem-estar da população."
Lula sugere Alckmin senador e coloca em dúvida manutenção da chapa atual,"Presidente afirma que vaga de vice está aberta, mas defende que aliado pode fortalecer candidatura de Haddad ao governo de São Paulo","247 – O presidente Lula afirmou nesta quinta-feira (19) que a vaga de vice em sua eventual chapa à reeleição segue aberta para Geraldo Alckmin (PSB), mas indicou que o aliado pode ser mais útil ao projeto político disputando uma vaga no Senado por São Paulo. As declarações foram feitas durante o lançamento da pré-candidatura de Fernando Haddad ao governo paulista.

Segundo informações do jornal Estado de S. Paulo, Lula destacou que Alckmin continua sendo um nome de confiança, mas ponderou que sua presença na disputa ao Senado poderia fortalecer a chapa encabeçada por Haddad contra o atual governador, Tarcísio de Freitas (Republicanos).

— “Eu ficarei imensamente feliz em ter o Alckmin vice outra vez. É um companheiro que eu aprendi a gostar, de muita lealdade, com muita competência de trabalho, um executivo extraordinário, ele só me ajuda. Mas você tem que conversar com o Haddad para saber onde colheremos mais frutos dele. Se ser candidato ao Senado, sabe, ajuda mais” — afirmou o presidente.

Lula reforçou que a decisão final dependerá de uma avaliação estratégica dentro do grupo político, considerando as necessidades da disputa em São Paulo.

— “Se ele for meu vice, estou tranquilo, mas o Haddad precisa de uma chapa para ganhar. Eles não têm senador para disputar conosco, vão inventar nomes. Já tivemos dois senadores em São Paulo e podemos voltar a ter. Não sei se o Geraldo vai ser candidato ao Senado. A vaga de vice está aberta para ele” — completou.

Estratégia eleitoral em São Paulo

O posicionamento de Lula ocorre no momento em que o PT oficializou a pré-candidatura do ministro da Fazenda, Fernando Haddad, ao governo de São Paulo. O partido aposta na repetição da estratégia de 2022, quando Haddad chegou ao segundo turno, mas acabou derrotado por Tarcísio.

Durante o evento realizado no Sindicato dos Metalúrgicos do ABC, em São Bernardo do Campo, Lula destacou a importância de montar uma chapa competitiva no estado e afirmou ter incentivado Haddad a disputar nov",2026-03-20 05:24:59+00:00,https://www.brasil247.com/poder/lula-sugere-alckmin-senador-e-coloca-em-duvida-manutencao-da-chapa-atual,brasil247,NEUTRO,"** O texto apresenta uma abordagem neutra ao relatar as declarações do presidente Lula sobre a possibilidade de Geraldo Alckmin ser seu vice na chapa à reeleição, sem tomar partido ou fazer juízo de valor."
Ibovespa recua com incertezas sobre o conflito no Oriente Médio,"Guerra impede acordo entre EUA e Irã, eleva petróleo a US$108 e derruba bolsa brasileira pelo fim de uma sequência de altas","Reuters - O sinal negativo prevaleceu na bolsa paulista nesta quinta-feira, com a aversão a risco global desencadeada por incertezas envolvendo um desfecho para o conflito no Oriente Médio voltando a derrubar o Ibovespa após três altas seguidas.

Índice de referência do mercado acionário brasileiro, o Ibovespa recuou 1,45%, a 182.732,67 pontos, chegando a 182.570,44 pontos na mínima e marcando 185.423,77 pontos na máxima do dia. O volume financeiro somou R$26,5 bilhões.

No exterior, o barril de petróleo sob o contrato Brent fechou em alta de 5,66%, a US$108,01, enquanto o S&P 500, uma das referências do mercado acionário norte-americano, recuou 1,74%.

O presidente dos EUA, Donald Trump, disse nesta quinta-feira que o Irã precisa chegar a um acordo para encerrar a guerra ou enfrentará uma ofensiva contínua, mas uma fonte iraniana afirmou à Reuters que a proposta dos EUA é ""unilateral e injusta"".

Na pauta brasileira, IPCA-15 de março mostrou alta de 0,44%, após avanço de 0,84% em fevereiro, segundo o IBGE, acima das previsões compiladas pela Reuters, que apontavam acréscimo de 0,29%. Em 12 meses, o índice subiu 3,90%.

De acordo com economistas do Bradesco, a surpresa no IPCA-15 foi concentrada basicamente em passagens aéreas e, em menor magnitude, alimentos no domicílio, esperando um resultado para o mês ainda mais elevado.

Eles destacaram que, com a atual conjuntura, com aumentos dos custos de combustíveis e fertilizantes, será mais difícil uma devolução da alta desses grupos no curto prazo.

""A geopolítica segue como maior risco para nosso cenário de inflação neste ano.""

Para estrategistas do Safra, embora o mercado ainda esteja hesitante quanto a como as tensões geopolíticas podem afetar a inflação, ainda há espaço para cortes de juros no Brasil.

""Assim, o ambiente volátil pode ser visto como uma oportunidade para buscar alternativas no mercado de ações"", afirmaram em relatório a clientes, elevando a previsão para o Ibovespa no final do ano para 220 mil pont",2026-03-26 18:14:05+00:00,https://www.brasil247.com/economia/ibovespa-recua-com-incertezas-sobre-o-conflito-no-oriente-medio,brasil247,NEUTRO,"** A notícia sobre o Ibovespa recuando devido às incertezas sobre o conflito no Oriente Médio não apresenta um viés ideológico explícito, pois se limita a relatar fatos econômicos e políticos sem tomar partido ou fazer juízos de valor."
"Dólar avança a R$5,25 com escalada da guerra contra o Irã",Tensões no Oriente Médio elevam a moeda no Brasil e no mundo. O Banco Central faz leilões extraordinários para garantir liquidez no mercado à vista,"Reuters - As preocupações com os efeitos econômicos da guerra no Oriente Médio voltaram a impulsionar o dólar ao redor do mundo nesta quinta-feira, com a moeda terminando a sessão no Brasil acima dos R$5,25, mesmo após o Banco Central ter injetado US$1 bilhão no mercado.

O dólar à vista fechou com alta de 0,70%, aos R$5,2574. No ano, a divisa passou a acumular baixa de 4,22%.

Às 17h06, o dólar futuro para abril -- o mais líquido no mercado brasileiro – subia 0,57% na B3, aos R$5,2625.

Os rendimentos dos Treasuries e o petróleo voltaram a subir nesta quinta-feira no exterior, em função da continuidade dos conflitos no Oriente Médio.

Enquanto o presidente dos EUA, Donald Trump, afirmou que os negociadores iranianos estavam ""implorando"" por um acordo, o Irã disse que o plano norte-americano de cessar-fogo está sob análise, mas que não há negociações. Mais tarde, Trump afirmou que o Irã havia permitido que dez petroleiros passassem pelo Estreito de Ormuz.

Neste cenário, a moeda norte-americana sustentava ganhos ante divisas de países emergentes como o peso chileno, o rand sul-africano, o peso mexicano e o real.

No início da tarde, o Banco Central do Brasil realizou dois leilões extraordinários de linha (venda de dólares com compromisso de recompra), com venda total de US$1 bilhão.

Entre profissionais ouvidos pela Reuters, a percepção é de que o BC atuou no mercado à vista para melhorar a liquidez, em meio à demanda pela moeda para remessas ao exterior.

“Está faltando dólar no mercado à vista. E na falta de liquidez, o BC faz o leilão”, comentou o diretor da Correparti Corretora, Jefferson Rugik.

Durante entrevista coletiva em Brasília, o presidente do BC, Gabriel Galípolo, afirmou que as intervenções da instituição no mercado de câmbio estão seguindo a ""orientação de sempre"".

Desde que a guerra dos EUA e de Israel contra o Irã começou, no fim de fevereiro, o BC tem promovido algumas operações para minimizar os efeitos do conflito no mercado de câmbio. O BC fez",2026-03-26 17:55:59+00:00,https://www.brasil247.com/economia/dolar-avanca-a-r-5-25-com-escalada-da-guerra-contra-o-ira,brasil247,NEUTRO,"** A notícia sobre o dólar avançando a R$5,25 com escalada da guerra contra o Irã não apresenta um viés ideológico explícito, mas pode ser considerado como tendo um viés neutro, pois relata fatos econômicos e políticos sem tomar partido ou fazer juízos de valor."
Celso Amorim não vê conflito do Irã como uma guerra de curta duração,"""No meio das negociações começou a guerra. Então isso coloca em dúvida qualquer disposição positiva. Não sou otimista em relação a isso"", disse o diplomata","247 - Em meio a informações desencontradas de Donald Trump, de que estaria conversando com o Irã, e enviado àquele país um conjunto de 15 pontos a serem levados em conta para um cessar fogo, o 247 pediu a opinião abalizada do assessor especial da Presidência da República, Celso Amorim, a fim de trazer o seu prognóstico sobre o conflito, que em breve completa um mês, sem que nenhum dos lados aponte qualquer expectativa para o fim da guerra.

O Irã, com visível superioridade nos ataques, não cede. Os EUA, que tenta passar aos olhos do mundo uma vitória que não obteve, segue sob o voluntarismo de Israel, respondendo aos mísseis dos persas como pode, enquanto o petróleo empaca no estreito de Ormuz, usado como a principal arma do Irã. Sem liberar a passagem de 20% do petróleo escoado para o mundo, por aquele canal, mantém poder sobre o setor e força a alta de preços, que vai acabar na ponta, elevando os preços nos demais países até do pãozinho diário. Para Celso, é difícil prever quando termina o impasse. Uma coisa, porém, lhe parece certa: é um conflito que nos assusta, pois pode ser o limiar de uma terceira guerra mundial.

Amorim não arrisca qualquer palpite sobre prazo e observa: “olhando hoje o panorama, não me parece próxima uma decisão. Os iranianos têm comentado que os americanos estão negociando com eles próprios. Por outro lado, a gente ouve que os EUA dizem que as propostas foram enviadas através do Paquistão, mas eu acho muito difícil terminar logo”.

O assessor considera “muito complexo” arriscar qualquer palpite sobre o fim da guerra “por tudo que foi envolvido. Obviamente que no Irã houve uma enorme destruição e há um problema que é um fundamental, talvez, que é a questão da confiança. Essa guerra foi iniciada num momento em que havia negociações. No meio das negociações começou a guerra. Então isso coloca em dúvida qualquer disposição positiva. Não sou otimista em relação a isso não”, frisa.

Diante das propostas que Trump diz ter enviado ao governo irani",2026-03-26 18:19:06+00:00,https://www.brasil247.com/mundo/celso-amorim-nao-ve-conflito-do-ira-como-uma-guerra-de-curta-duracao,brasil247,ESQUERDA,"** A notícia apresenta uma entrevista com Celso Amorim, assessor especial da Presidência da República, sobre o conflito no Irã e as perspectivas de um cessar-fogo. O tom da entrevista é crítico em relação à atuação dos EUA e Israel, destacando a superioridade militar do Irã e a falta de progresso nas negociações."
"“O governo não tem liberdade para gerir a empresa em favor do Brasil”, diz Guilherme Estrella",Estrella diz que leis pós 2016 reduziram o controle do Estado sobre a Petrobras e limitaram a ação do governo no setor energético,"247 - O geólogo Guilherme Estrella, reconhecido por ter liderado a equipe responsável pela descoberta do pré-sal, afirmou que a Petrobras perdeu capacidade de atuar de forma subordinada ao interesse público depois das mudanças legais e institucionais impostas nos últimos anos. Na avaliação dele, a estatal passou a operar sob amarras que restringem a ação direta do governo e enfraquecem o papel estratégico da empresa na política energética brasileira.

Em entrevista ao canal Tutaméia no YouTube, Estrella concentrou sua crítica na perda de controle estatal sobre a Petrobras e outras empresas públicas. Segundo ele, esse processo retirou do governo a capacidade de conduzir suas estatais em linha com um projeto nacional. “Tiraram do governo o controle total de suas estatais. O governo não tem liberdade para gerir as empresas de acordo com os interesses nacionais”, declarou.

Ao longo da entrevista, Estrella sustentou que a modificação das leis das estatais e das regras de governança alterou a estrutura de decisão dentro das empresas públicas. Segundo ele, o Estado deixou de ter a margem de atuação que possuía em períodos anteriores para definir prioridades estratégicas, orientar investimentos e usar essas companhias como instrumento de desenvolvimento nacional.

Ao comparar a situação atual com sua experiência na Petrobras, ele resumiu essa mudança de forma direta: “O governo não tem liberdade absoluta, como tinha, para gerir a empresa inteiramente em favor do Brasil”. Na leitura do geólogo, esse novo desenho institucional subordinou a estatal a mecanismos que priorizam o retorno financeiro e reduziram sua função como empresa vinculada à soberania energética.

Estrella também relacionou esse quadro à composição acionária da Petrobras. Segundo ele, a presença ampliada de investidores privados e estrangeiros reforçou a pressão por rentabilidade imediata e distribuição de dividendos, em detrimento de uma lógica de planejamento de longo prazo. “A Petrobras está amarrada”, af",2026-03-23 15:54:06+00:00,https://www.brasil247.com/entrevistas/o-governo-nao-tem-liberdade-para-gerir-a-empresa-em-favor-do-brasil-diz-guilherme-estrella,brasil247,ESQUERDA,"** O texto apresenta uma crítica à política econômica do governo atual e ao papel das estatais no setor energético, destacando a perda de controle estatal sobre essas empresas."
Enviado de Putin alerta para crise energética e critica medidas da UE e do Reino Unido: “tiros no próprio pé”,Kirill Dmitriev reiterou que sanções ao fornecimento de energia russa estão prejudicando a economia europeia e britânica,"247 - O enviado especial da Presidência da Rússia, Kirill Dmitriev, alertou nesta quinta-feira (26) sobre o que classificou como a maior crise energética da história, ressaltando que a situação poderia ser mitigada com o fornecimento de energia russa. Ele reforçou que as medidas adotadas pelas autoridades europeias e britânicas para restringir o acesso à energia russa estão prejudicando a própria economia: ""Os burocratas do Reino Unido/UE continuam a dar tiros no próprio pé - sem bom senso, sem pés, sem petróleo e gás"", afirmou, prevendo uma ""desindustrialização muito severa"", informa a RT Brasil.

Segundo Dmitriev, ""vemos que se aproxima a crise energética mais grave de toda a história da humanidade. Nem a Europa nem o Reino Unido estão preparados para ela"". O enviado russo atribuiu a crise às políticas europeias: ""Tudo por causa das decisões equivocadas de políticos britânicos e europeus em relação à energia"", disse Dmitriev.

O alerta ocorre em meio à desestabilização do mercado global de combustíveis, provocada pelas agressões conduzidas pelos Estados Unidos e Israel contra o Irã. O bloqueio parcial do Estreito de Ormuz reduziu a oferta mundial de hidrocarbonetos, elevando os preços da energia e aumentando a pressão sobre economias dependentes de importações.",2026-03-26 15:03:46+00:00,https://www.brasil247.com/mundo/enviado-de-putin-alerta-para-crise-energetica-e-critica-medidas-da-ue-e-do-reino-unido-tiros-no-proprio-pe,brasil247,DIREITA,"** A notícia apresenta um tom crítico em relação às medidas adotadas pelas autoridades europeias e britânicas para restringir o acesso à energia russa, destacando a perspectiva de Kirill Dmitriev como uma voz crítica ao que considera ""tiros no próprio pé"" da UE e do Reino Unido."
"“Queremos pegar o andar de cima da corrupção e do crime organizado”, afirma Lula",Presidente defende combate a crimes de elite e cooperação internacional durante agenda em Goiás,"247 - O presidente Luiz Inácio Lula da Silva (PT) afirmou, nesta quinta-feira (26), que o governo federal pretende intensificar o combate ao crime organizado, com foco também em setores mais privilegiados da sociedade. A declaração foi feita durante visita às instalações da Brainfarma Indústria Química e Farmacêutica, em Anápolis (GO), em meio à sanção recente de medidas voltadas ao enfrentamento de organizações criminosas.

De acordo com informações divulgadas pelo Brasil 247, Lula destacou que o objetivo das novas ações é alcançar níveis mais altos das estruturas criminosas no país. A fala ocorre no contexto da aprovação de uma legislação voltada ao endurecimento das punições contra facções e redes ilegais.

No discurso, o presidente criticou a seletividade das ações policiais e afirmou que é necessário ampliar o alcance das investigações. “Anteontem aprovamos a lei antifação. Queremos chegar no andar de cima da corrupção e do crime organizado nesse país. É muito fácil prender pobre na periferia. Quero ver prender os donos dos apartamentos de cobertura, quero prender os donos do narcotráfico nos condomínios chiques”, declarou.

Lula também afirmou que o combate à criminalidade não pode se restringir às regiões mais vulneráveis. “Matar os pobres na periferia é simples e justificável, agora quero ver ir na cobertura de 500 metros quadrados e pegar o cara que ganha de verdade com isso. Queremos chegar no fundo do crime organizado”, acrescentou.

O presidente mencionou ainda articulações internacionais no enfrentamento ao crime transnacional. Segundo ele, houve diálogo com o presidente dos Estados Unidos, Donald Trump, sobre o tema. “Na conversa com o presidente Trump, um tempo atrás, ele estava atirando na Venezuela por causa do narcotráfico e do crime organizado. Até que ele foi lá, pegou o Maduro e levou para Nova York. E eu disse ao presidente Trump: ‘se você estiver falando sério no combate ao crime organizado, o Brasil está nessa’”, afirmou.

Na sequência, Lula ",2026-03-26 13:22:26+00:00,https://www.brasil247.com/brasil/queremos-pegar-o-andar-de-cima-da-corrupcao-e-do-crime-organizado-afirma-lula,brasil247,ESQUERDA,"** A notícia apresenta uma abordagem crítica à seletividade das ações policiais e defende o combate ao crime organizado de forma mais ampla, enfatizando a necessidade de alcançar os setores mais privilegiados da sociedade."
"Brasil reduz emissões, mas especialistas alertam para metas climáticas","Os dados constam em relatório divulgado pelo Observatório do Clima, com base no Sistema de Estimativas de Emissões e Remoções de Gases de Efeito Estufa","Rafael Cardoso - Repórter da Agência Brasil

As emissões brutas de gases de efeito estufa do Brasil caíram 16,7% em 2024. O total foi de 2,145 bilhões de toneladas de gás carbônico equivalente (GtCO2e). Em 2023, as emissões somaram 2,576 bilhões de toneladas. Foi a segunda maior redução da série histórica, iniciada em 1990.

Os dados constam em relatório divulgado pelo Observatório do Clima (OC), com base no Sistema de Estimativas de Emissões e Remoções de Gases de Efeito Estufa (SEEG). As emissões líquidas ficaram em 1,489 bilhão de toneladas de gás carbônico equivalente, queda de 22%. O número leva em conta as emissões brutas menos o carbono absorvido por vegetações e áreas protegidas.

A redução está diretamente associada à diminuição do desmatamento, especialmente na Amazônia e no Cerrado, onde as emissões por mudança de uso da terra recuaram 32,5%. Todos os biomas brasileiros tiveram queda de emissões, exceto o Pampa (alta de 6%). Ainda assim, o Brasil continua entre os maiores emissores globais por desmatamento.

O relatório também destaca o peso dos incêndios florestais de 2024. As emissões causadas pelo fogo atingiram o maior nível da série histórica: 241 milhões de toneladas de gás carbônico equivalente (MtCO2e). Caso fossem contabilizados no inventário oficial – o que hoje não ocorre – eles poderiam dobrar as emissões líquidas associadas à mudança de uso da terra.

Nos demais setores da economia, as emissões ficaram estáveis ou subiram. A agropecuária teve leve queda de 0,7%. Energia (0,8%), processos industriais (2,8%) e o setor de resíduos (3,6%) registraram altas.

A coordenação técnica do SEEG é feita por quatro instituições integrantes do Observatório do Clima. O Instituto de Pesquisa Ambiental da Amazônia (Ipam) lidera estudos sobre mudança de uso da terra. O Instituto de Manejo e Certificação Florestal e Agrícola (Imaflora) foca na agropecuária. O Instituto de Energia e Meio Ambiente (Iema) aborda os setores de energia e processos industriais. O Gov",2026-03-18 22:22:27+00:00,https://www.brasil247.com/meioambiente/emissoes-de-gases-caem-em-2024-mas-meta-climatica-segue-em-risco,brasil247,NEUTRO,"** O texto apresenta uma abordagem neutra e factual sobre a redução das emissões de gases de efeito estufa no Brasil, sem tomar partido político ou fazer juízo de valor."
