titulo,subtitulo,texto,vies_politico,justificativa_llm,validado_por
Alerj escolhe novo presidente hoje em eleição que só deve ter um candidato,A Alerj (Assembleia Legislativa do Rio) escolhe hoje seu novo presidente numa eleição que deve contar com apenas um candidato: Douglas Ruas (PL). Leia no UOL,"A Alerj (Assembleia Legislativa do Rio) escolhe hoje seu novo presidente numa eleição que deve contar com apenas um candidato: Douglas Ruas (PL).

O que aconteceu

Oposição tinha nome, mas decisão da Justiça mudou cenário. Caso eleição fosse com voto fechado, Vitor Junior (PDT) também disputaria o cargo. Porém, ontem à noite, o Tribunal de Justiça do Rio decidiu que o pleito deve acontecer com voto aberto, e a frente de oito partidos decidiu se retirar da disputa.

Decisão representou derrota para grupo político de Eduardo Paes (PSD). O ex-prefeito do Rio se articulava nos bastidores para eleger um aliado. O movimento fazia parte de sua estratégia como pré-candidato ao Palácio Guanabara numa disputa que também deve ser contra Ruas, nas urnas em outubro.",Neutro,Não identificada.,todos
"Direita leva mais manifestantes às ruas no 7 de setembro que a esquerda, diz O Globo","Jornal aponta que mobilização bolsonarista superou, de forma expressiva, os protestos organizados por grupos lulopetistas.","O jornal O Globo reportou em sua cobertura do 7 de setembro que a direita bolsonarista levou mais manifestantes às ruas que a esquerda.

CONTINUA APÓS A PUBLICIDADE

A contagem foi feita com base em registros fotográficos, vídeos e acompanhamento das autoridades de segurança nos locais de maior concentração.

A Avenida Atlântica, em Copacabana, e a Avenida Paulista foram os principais pontos de mobilização, reunindo dezenas de milhares de apoiadores vestidos com as cores da bandeira nacional. Os atos foram marcado por discursos em defesa da anistia aos presos do 8 de janeiro e críticas ao Supremo Tribunal Federal.

Do lado oposto, os eventos promovidos pela esquerda tiveram participação discreta, sem a mesma repercussão devido à tímida adesão popular.

“O ato bolsonarista na Avenida Paulista neste domingo reuniu cerca de 42,2 mil pessoas, enquanto a maior manifestação organizada pela esquerda, também em São Paulo, teve a adesão de 8,8 mil apoiadores. Além de competirem em números, os atos também tiveram motes conflitantes”, diz trecho da publicação.",Esquerda,"** A notícia apresenta uma análise comparativa dos eventos de 7 de setembro, destacando a maior mobilização da direita bolsonarista em relação à esquerda. O texto não apresenta críticas explícitas ao governo ou à oposição, mas sim relata os números e as características das manifestações.",mateus
Gilmar repreende deputados no julgamento da CPMI do INSS,Gilmar Mendes criticou a atuação da CPMI do INSS e deu uma bronca pública nos parlamentares que acompanham o julgamento no plenário.,"Gilmar Mendes criticou a atuação da CPMI do INSS e deu uma bronca pública nos parlamentares que acompanham o julgamento no plenário. (Foto: Rosinei Coutinho/STF )

O ministro do Supremo Tribunal Federal (STF) Gilmar Mendes fez uma reprimenda pública, nesta quinta-feira (26), aos deputados que acompanham no plenário da Corte o julgamento sobre a prorrogação da CPMI do INSS. O decano mencionou que conversas íntimas de Daniel Vorcaro, dono do Banco Master, foram vazadas “para festejo geral”.

Ele classificou o episódio como “deplorável, lamentável e criminoso”. Gilmar interrompeu a fala do ministro Flávio Dino e destacou que a quebra de sigilos sem fundamentação é inconstitucional.

“É muito curioso, ministro Dino, esse aspecto, porque se invoca esse poder de autoridade judicial, e é bom que os parlamentares que estão aqui possam escutar isso. Autoridade judicial decide com fundamento”, disse.

VEJA TAMBÉM: STF julga a prorrogação da CPMI do INSS

“Não é preciso ser alfabetizado para saber que isso é inconstitucional. Por que? Porque o juiz que decide sem fundamentação produziu um nada jurídico. E quando os senhores se investem neste poder tem que atuar como juízes. Como também é deplorável que quebram sigilo e divulguem, vazem. Abominável”, destacou Gilmar.

“É criminoso”, acrescentou o ministro Alexandre de Moraes.

“É crime. Trata-se de uma prática de crime coletivo. O crime coletivo não os anonimiza”, ressaltou Gilmar, apontando para a plateia.

O senador Carlos Viana (Podemos-MG), presidente da CPMI do INSS, e os deputados Marcel van Hattem (Novo-RS), Sóstenes Cavalcante (PL-RJ), Alfredo Gaspar (União-AL), Bia Kicis (PL-DF) e Hélio Lopes (PL-RJ) acompanham a sessão no plenário.

“Os senhores já sabem disso. Poder envolve responsabilidade. É isso que o texto constitucional exige. Quem tem poder, tem responsabilidade. Por isso que nós cuidamos. Processo sob sigilo aqui submetem-se a essa regra. Nós não vamos. Não se pode vazar”, afirmou o decano.

O ministro André M",Direita,"** A notícia apresenta uma crítica feita pelo ministro Gilmar Mendes ao comportamento de parlamentares durante o julgamento da CPMI do INSS, destacando a quebra de sigilos sem fundamentação como ""deplorável, lamentável e criminoso"". O tom utilizado pelo ministro sugere um viés ideológico conservador, pois critica a atuação dos parlamentares sem considerar as possíveis motivações ou contextos políticos.",ariston
Conheça a incrível história do homem que descobriu a vala clandestina de Perus,"Graças à obstinação de Toninho Eustáquio, que nos deixou nesta semana, foram descobertas mais de mil ossadas humanas, um dos mais absurdos crimes praticados pela ditadura militar","Graças à obstinação de Toninho Eustáquio, que nos deixou nesta semana, foram descobertas mais de mil ossadas humanas, um dos mais absurdos crimes praticados pela ditadura militar

CONHEçA A INCRíVEL HISTóRIA DO HOMEM QUE DESCOBRIU A VALA CLANDESTINA DE PERUS

CONHEçA A INCRíVEL HISTóRIA DO HOMEM QUE DESCOBRIU A VALA CLANDESTINA DE PERUS

00:00 A+ A-

Ler o resumo da notícia Antonio Pires Eustáquio, “Toninho”, ex‑administrador do Cemitério Dom Bosco, faleceu nesta quarta‑feira (06) em Perus, São Paulo.

Toninho revelou a existência da Vala Clandestina de Perus, onde foram enterrados corpos de desaparecidos políticos da ditadura militar.

O ex‑presidente da Comissão da Verdade de SP, Adriano Diogo, classificou a descoberta como a mais importante sobre os crimes da ditadura e o considerou herói nacional.

Diogo criticou a falta de abertura completa dos arquivos da ditadura, questionando quantas valas ainda permanecem desconhecidas.

Morreu nesta quarta-feira (06), Antonio Pires Eustáquio, conhecido como Toninho, ex-administrador do Cemitério Dom Bosco, em Perus, na zona norte de São Paulo. Toninho foi reconhecido nacionalmente por ter revelado a existência da chamada Vala Clandestina de Perus, onde foram enterrados corpos de desaparecidos políticos durante a ditadura militar brasileira.

A morte foi lamentada por autoridades e defensores dos direitos humanos. O ex-presidente da Comissão da Verdade do Estado de São Paulo, Adriano Diogo, definiu Toninho como “um grande herói do povo brasileiro”.

“Foi um grande herói do povo brasileiro, sem o devido reconhecimento. Esse homem merece uma estátua. Desnudou a ditadura. Foi a descoberta mais importante sobre os crimes da ditadura”, afirmou Diogo.

O ex-presidente da comissão também criticou a ausência de abertura completa dos arquivos do período militar. “Quantas valas ainda existem no Brasil que não foram descobertas? Por que o governo brasileiro é tão covarde que não permite a abertura dos arquivos da ditadura?”, questiono",Esquerda,"** A notícia apresenta uma narrativa que destaca a importância da descoberta da Vala Clandestina de Perus e o papel do falecido Toninho Eustáquio como um herói nacional, enfatizando a necessidade de abertura completa dos arquivos da ditadura militar. A ênfase na responsabilidade do Estado pela repressão política durante a ditadura e a crítica à falta de transparência sugerem uma orientação ideológica progressista.",bruno
Vereador de Caxias do Sul é condenado por racismo por fala sobre trabalhadores baianos,,"A Justiça Federal condenou o vereador Sandro Fantinel (PL), de Caxias do Sul (RS), ao pagamento de R$ 100 mil por danos morais coletivos devido a manifestações xenofóbicas e discriminatórias contra a população nordestina, especialmente contra trabalhadores baianos que foram resgatados de condições análogas à escravidão em vinícolas de Bento Gonçalves, também na Serra Gaúcha. A decisão atendeu a ações civis públicas diversas ajuizadas pelo Ministério Público Federal (MPF), Ministério Público do Estado do Rio Grande do Sul (MP-RS) e sete entidades da sociedade civil. Leia também:
Ministério Público do RS denuncia por racismo vereador que atacou trabalhadores baianos
Vereador ataca resgatados em Bento: ‘A única cultura que eles têm é viver na praia tocando tambor’ Em 22 de fevereiro de 2023, operação conjunta realizada pelo Ministério do Trabalho e Emprego (MTE), Ministério Público do Trabalho (MPT), Polícia Federal (PF) e Polícia Rodoviária Federal (PRF) resgatou mais de 200 pessoas em condições análogas à escravidão na colheita da uva em Bento Gonçalves, com grande repercussão na mídia nacional. Dias depois, em 28 de fevereiro, Fantinel usou a tribuna da Câmara Municipal de Caxias do Sul para emitir um discurso de caráter xenofóbico e discriminatório em relação à origem geográfica, em especial à população que nasceu ou vive no estado da Bahia. A fala de Fantinel foi transcrita na denúncia apresentada contra ele. “Gente, eu só vou dar um conselho. Agricultores, produtores, empresas agrícolas que estão nesse momento me acompanhando. Eu vou dar um conselho pra vocês: não contratem mais aquela gente lá de cima. Conversem comigo, vamos criar uma linha e vamos contratar os argentinos, porque todos os agricultores que têm argentinos trabalhando hoje só batem palma. São limpos, trabalhadores, corretos, cumprem o horário, mantêm a casa limpa e no dia de ir embora ainda agradecem o patrão (…). Em nenhum lugar do Estado, na agricultura, teve um problema com argentinos ou com gr",Esquerda,"** A notícia apresenta uma narrativa que destaca a condenação do vereador por racismo e xenofobia, enfatizando as manifestações discriminatórias contra trabalhadores baianos resgatados de condições análogas à escravidão. O foco está na punição ao agressor e na defesa dos direitos das vítimas, o que é característico da narrativa de ESQUERDA.",ariston
"Câmara mantém Glauber e Zambelli, mas aliados de Lula vão ao STF para que decisão só valha para a esquerda",Plenário rejeita cassação da deputada do PL e adota penalidade alternativa para o parlamentar do PSOL.,"Nesta quinta-feira (11), a Câmara dos Deputados decidiu, em sessão marcada por forte polarização, manter o mandato da deputada federal Carla Zambelli (PL-SP), mesmo após condenações transitadas em julgado, por não alcançar a maioria absoluta necessária para cassação no plenário.

CONTINUA APÓS A PUBLICIDADE

Foram 227 votos favoráveis à cassação, 170 contrários e 10 abstenções, insuficientes diante dos 257 votos exigidos pela Constituição para declarar a perda de mandato.

Paralelamente, o plenário rejeitou a cassação do deputado Glauber Braga (PSOL-RJ) e, em alternativa, aprovou a suspensão de seu mandato por seis meses, por 318 votos a favor, 141 contra e 3 abstenções. A suspensão foi aprovada como pena alternativa em vez da perda definitiva do mandato, atendendo a uma emenda apresentada durante a votação.

Os dois casos tinham brigas internas e externas. Zambelli, atualmente presa na Itália após sentença de 10 anos de reclusão pelo STF, havia tido seu caso aprovado pela Comissão de Constituição e Justiça antes de ir ao plenário. Braga, por sua vez, enfrentava processo motivado por episódio de quebra de decoro, quando expulsou um integrante do Movimento Brasil Livre em 2024, e chegou a protestar ocupando a mesa da presidência da Câmara antes de ser retirado à força pela Polícia Legislativa.

Após a votação, líderes da base aliada do presidente Luiz Inácio Lula da Silva anunciaram a intenção de protocolar ações no Supremo Tribunal Federal (STF) para questionar a decisão da Câmara, argumentando que a manutenção do mandato de Zambelli contraria entendimento judicial anterior e que o processo teria sido seletivo ao aplicar critérios diferentes conforme a orientação política dos parlamentares. Ainda não há detalhes públicos sobre qual tipo de medida jurídica será apresentada ao Supremo.",Direita,"** A notícia apresenta uma narrativa que destaca a decisão da Câmara dos Deputados de manter o mandato da deputada Carla Zambelli (PL-SP) e suspender por seis meses o mandato do deputado Glauber Braga (PSOL-RJ), com um tom crítico em relação à atuação do STF e ao governo.",ariston
Eduardo Leite diz que é único pré-candidato de centro do PSD,O presidenciável Eduardo Leite afirmou que Caiado é de direita e que PSD deve optar por candidatura de centro. Leia na Gazeta do Povo.,"O governador do Rio Grande do Sul, Eduardo Leite (PSD-RS), descartou a possibilidade de disputar a eleição presidencial como vice na chapa do governador de Goiás, Ronaldo Caiado (PSD-GO). Ele reforçou que pretende ser candidato ao Palácio do Planalto pelo PSD para posicionar o partido ao centro, como alternativa à polarização entre Lula (PT) e Flávio Bolsonaro (PL-RJ).

“O que ele [Caiado] busca representar já tem representante na direita. Nós precisamos apresentar uma alternativa a essa polarização. Com toda legitimidade, o presidente Lula representa a esquerda. Há um candidato da direita e até outros disputando na direita. [...] Para mim está muito claro o que essa eleição demanda: uma candidatura no centro”, declarou Leite em entrevista à GloboNews.

O governador gaúcho descartou a possibilidade de deixar o cargo para concorrer como candidato a vice-presidente ou entrar na disputa pelo Senado no Rio Grande do Sul. “Para concorrer a presidente, eu me desincompatibilizo do cargo até o dia 4. Se não for para a candidatura à Presidência, eu permaneço no meu cargo até o final do mandato”, ressaltou.

Ao detalhar o posicionamento político, Leite afirmou que o centro deve combinar responsabilidade fiscal com políticas sociais. Segundo ele, trata-se de um campo que “consegue enxergar que o Estado brasileiro precisa ser menor, com ajustes de contas e firme na segurança pública”, bandeiras ligadas à direita.

Ao mesmo tempo, ele avaliou que o centro precisa assegurar a proteção social para os mais pobres e para as minorias. “Do outro lado, tem um Estado brasileiro que precisa proteger os vulneráveis, pessoas que ficaram para trás e precisam ser promovidas”, comentou.

Leite buscou afastar a ideia de que o centro representa neutralidade política. “O centro não é ausência de posição; o centro é a possibilidade da gente conviver democraticamente, romper essa polarização e construir uma alternativa para o país. E eu quero liderar esse processo.”

Eduardo Leite afirma que PSD e",Direita,"** O texto apresenta uma visão de centro do partido PSD e critica a polarização política entre Lula (PT) e Flávio Bolsonaro (PL-RJ), o que é característico da narrativa de DIREITA.",bruno
Impeachment à vista: Congresso reage à decisão do TCU e acusa Lula de repetir ‘pedaladas fiscais’ de Dilma Rousseff,"A decisão do Tribunal de Contas da União (TCU) de bloquear recursos bilionários do programa Pé-de-Meia colocou o governo do presidente Luiz Inácio Lula da Silva (PT) sob intensa pressão no Congresso Nacional. Deputados e senadores acusam o Executivo de pedaladas fiscais, em referência às irregularidades que embasaram o impeachment de Dilma","A decisão do Tribunal de Contas da União (TCU) de bloquear recursos bilionários do programa Pé-de-Meia colocou o governo do presidente Luiz Inácio Lula da Silva (PT) sob intensa pressão no Congresso Nacional. Deputados e senadores acusam o Executivo de pedaladas fiscais, em referência às irregularidades que embasaram o impeachment de Dilma Rousseff em 2016.

CONTINUA APÓS A PUBLICIDADE

O TCU apontou que os recursos destinados ao pagamento de benefícios do programa, centralizados no Fundo de Custeio da Poupança de Incentivo à Permanência e Conclusão Escolar para Estudantes do Ensino Médio (Fipem), não estavam previstos na Lei Orçamentária Anual (LOA).

Segundo o tribunal, valores oriundos de fundos privados, como o Fundo Garantidor de Operações (FGO) e o FGEDUC, foram utilizados de forma irregular para capitalizar o Fipem.

O bloqueio determinado pelo TCU não afeta os R$ 6,1 bilhões provenientes do Fundo Social, que poderão continuar sendo utilizados de forma excepcional em 2024 e 2025, mas impede o uso de outros fundos.

Parlamentares, sobretudo da oposição, acusam o governo de crime de responsabilidade fiscal. O deputado Marcel Van Hattem (Novo) foi categórico ao afirmar que o caso possui “claros motivos para impeachment”. Ele comparou a situação às pedaladas fiscais de Dilma Rousseff e convocou manifestações públicas.

O deputado Ubiratan Sanderson (PL-RS) lidera articulações para protocolar um pedido formal de impeachment no início do ano legislativo, em fevereiro. Sanderson já havia solicitado ao TCU, em outubro de 2024, uma investigação sobre supostas irregularidades no programa, alegando uma “pedalada” de R$ 3 bilhões.",Direita,"** A notícia apresenta uma narrativa crítica ao governo do presidente Luiz Inácio Lula da Silva (PT), acusando-o de ""pedaladas fiscais"" e referindo-se às irregularidades que embasaram o impeachment de Dilma Rousseff em 2016, o que é característico de uma abordagem ideológica conservadora.",thiago
Editorial: Os juros e o preço da gastança sem fim,"Querer gasto ilimitado com juro baixo, como pretendem lideranças petistas, é viver em um mundo de fantasia.","Em meados de março, ao promover um novo corte de meio ponto porcentual na taxa Selic, os membros do Copom afirmaram de forma unânime, em comunicado, que “anteveem, em se confirmando o cenário esperado, redução de mesma magnitude na próxima reunião”. Um mês e meio depois, no entanto, cinco dos nove membros mudaram de ideia, e optaram por uma redução menor, de 0,25 ponto porcentual; agora, a taxa de juros básica é de 10,5% ao ano. O “cenário esperado”, portanto, parece não ter se confirmado. Mas o que, exatamente, aconteceu para esta mudança, que inclusive já havia sido antecipada por parte do mercado financeiro?

Os Estados Unidos seguem relutantes em iniciar um processo de afrouxamento monetário, o que por si só já pressiona o câmbio dos países emergentes e cria pressões inflacionárias nessas nações, mas esse fator já estava presente em março. Outros elementos citados no comunicado de quarta-feira também são antigos, como o fato de os núcleos de inflação seguirem acima da meta, embora o IPCA cheio esteja em “trajetória de desinflação”. No entanto, houve uma enorme mudança no período transcorrido entre a reunião de março do Copom e a reunião recentemente encerrada: uma sinalização forte do governo contra a responsabilidade fiscal.

Uma política fiscal tolerante com o aumento irresponsável do gasto público, que tem consequências inflacionárias, impede a continuação do ciclo de afrouxamento monetário, ao menos na velocidade em que ele vinha ocorrendo

A mudança na meta de resultado primário de 2025 não foi citada explicitamente no comunicado, mas para bom entendedor pingo é letra. Quando menciona “desenvolvimentos recentes da política fiscal”, é evidente que o texto se refere ao abandono da meta de superávit primário de 0,5% do PIB no ano que vem, trocada por um objetivo de resultado zero, com tolerância de 0,25 ponto para mais ou para menos, de acordo com o projeto de Lei de Diretrizes Orçamentárias (PLDO) de 2025 enviado pelo governo ao Congresso. A meta antiga, é bo",Direita,"** O texto apresenta uma análise crítica sobre a política econômica do governo petista e sua relação com os juros e a inflação, utilizando linguagem que sugere um viés ideológico conservador.",thiago
"Se tiver dois palanques no 1º turno no RS, Lula corre o risco de ficar sem nenhum no 2º turno",Análise de Jeferson Miola aponta que fragmentação da base governista no Rio Grande do Sul pode favorecer forças de oposição,"A hipótese de PDT e PT do Rio Grande do Sul saírem em chapas separadas para a disputa do governo estadual pode deixar o presidente Lula sem nenhum palanque no segundo turno.

A desunião destes dois partidos que integram a base de sustentação do governo Lula em Brasília pode, potencialmente, favorecer a ida ao segundo turno da chapa apoiada pelo governador Eduardo Leite e encabeçada pelo vice-governador Gabriel Souza.

Apesar de por enquanto ostentar baixos percentuais nas pesquisas eleitorais, ficando abaixo de Juliana Brizola/PDT e Edegar Pretto/PT nas simulações, a aliança eleitoral de Gabriel Souza tem prefeitos do MDB em 126 municípios e em outros 41 do PSD, além de dezenas de vice-prefeitos, vereadores, deputados, militâncias e máquinas partidárias bem estruturadas em praticamente todos os municípios gaúchos.

As seções gaúchas do MDB e PSD são, majoritariamente, oposicionistas em relação ao governo Lula. Se Eduardo Leite for confirmado candidato presidencial, o sentimento antipetista odioso ganhará ainda mais terreno.

Portanto, se a candidatura de Gabriel Souza tiver maior votação que o desempenho individual da Juliana Brizola e do Edegar Pretto –hipótese que não pode ser desprezada– a eleição de outubro será decidida no segundo turno entre o antipetista e antilulista Gabriel Souza e o tenente-coronel bolsonarista Luciano Zucco, do PL.

Nesta circunstância, o presidente Lula não teria um palanque próprio no segundo turno no Rio Grande do Sul, o que é tremendamente preocupante no contexto de uma eleição que se afigura ainda mais renhida e difícil que a de 2022.

Além disso, a incapacidade de PT e PDT chegarem a um entendimento para a viabilização de uma candidatura única também complica a eleição de pelo menos uma das duas cadeiras em disputa para o Senado.

Isso porque o PDT poderia lançar candidatura própria ao Senado para reforçar sua candidatura majoritária; ou, o que não seria improvável, poderia se unir à chapa de Gabriel Souza, dada a pressão de setores",Esquerda,"** A notícia apresenta uma análise política que destaca a possibilidade de fragmentação da base governista no Rio Grande do Sul, o que pode favorecer as forças de oposição e prejudicar a candidatura presidencial do presidente Lula.",pedro
