titulo,subtitulo,texto,data,url,portal
PL pede a STF que futuro presidente da Alerj possa assumir governo interino do Rio,Pedido foi feito na ação que tramita no STF sobre as regras de uma eventual eleição indireta em caso de vácuo no Executivo fluminense,"O PL reivindicou na Justiça para que o futuro presidente da Assembleia Legislativa do Rio de Janeiro ( Alerj ) possa assumir interinamente o governo do Estado assim que for escolhido pelo Parlamento estadual. O pedido foi feito na ação que tramita no Supremo Tribunal Federal ( STF ) sobre as regras de uma eventual eleição indireta em caso de vácuo no Executivo fluminense.

O debate se dá em meio ao imbróglio judicial sobre a sucessão transitória do ex-governador Cláudio Castro (PL), que renunciou ao cargo na véspera de ser condenado pelo Tribunal Superior Eleitoral (TSE) por abuso de poder político e econômico nas eleições de 2022.



Há duas ações no STF sobre a escolha do governador que assumirá a gestão do Rio até o fim do mandato atual. Além do processo sobre as regras do pleito indireto, há ainda uma ação que pede que a escolha do governador-tampão seja feita por votação popular.



As duas ações foram movidas pelo PSD, do ex-prefeito e pré-candidato ao governo Eduardo Paes. Na sexta-feira (27), o ministro do STF Cristiano Zanin, relator desse segundo processo, deu uma decisão liminar suspendendo o julgamento em plenário virtual da ação sobre as regras do pleito indireta.



Na decisão, Zanin alegou que o Tribunal precisava decidir sobre o molde da eleição para o mandato-tampão e pediu para que as duas ações na Corte sejam julgadas em conjunto. Além disso, o ministro também congelou a linha sucessória do Estado para que, até o impasse sobre o pleito ser direto ou indireto ser resolvido, a gestão interina fique com o presidente do Tribunal de Justiça, desembargador Ricardo Couto, que já está há uma semana como governador em exercício.



É justamente esse último ponto que o PL está questionando no Supremo. O partido afirma que a liminar de Zanin fere a Constituição estadual, que prevê que a linha sucessória do governo seja, na ordem: governador, vice, presidente da Alerj e presidente do TJ.



“A controvérsia sobre como se preencherá definitivamente a vacância n",2026-03-30 00:00:00,https://valor.globo.com/politica/noticia/2026/03/30/pl-pede-a-stf-que-futuro-presidente-da-alerj-possa-assumir-governo-interino-do-rio.ghtml,valoreconomico
Valor Econômico,,"Já se cadastrou, mas não está recebendo a newsletter?

1 - Acesse sua caixa de spam ou lixo eletrônico, selecione o e-mail e marque como não é spam.

2 - Se não resolveu, envie um e-mail para faleconosco@infoglobo.com.br ou ligue 4002-5300 para capitais e grandes cidades ou 0800 021 8433 para demais localidades de segunda a sexta, das 6h30 às 17h e sábados, domingos e feriados, das 7h às 12h.

Nós não iremos divulgar o seu endereço de e-mail. Você pode desfazer sua inscrição a qualquer momento através do link na parte inferior da newsletter recebida.",,https://valor.globo.com/newsletter/assine-newsletter,valoreconomico
"Valdemar Costa Neto rejeita Michelle como vice de Flávio, mas defende mulher na chapa presidencial","A uma plateia de empresários, em São Paulo, o dirigente partidário disse ainda que a família Bolsonaro precisa 'resolver todos os problemas' se quiser vencer a eleição","O presidente nacional do PL, Valdemar Costa Neto , defendeu que a vice do senador Flávio Bolsonaro (PL-RJ) na disputa presidencial seja uma mulher, mas rejeitou a eventual indicação da ex-primeira-dama Michelle Bolsonaro (PL). Valdemar descartou também uma composição com a senadora Tereza Cristina (PP-MS) na vice. A uma plateia de empresários, em São Paulo, o dirigente partidário disse ainda que a família Bolsonaro precisa “resolver todos os problemas” se quiser vencer a eleição.

Ao participar de um almoço debate promovido pelo grupo Lide, na capital paulista, Valdemar afirmou “torcer” para que Flávio escolha uma mulher como vice, para tentar atrair o eleitorado feminino e não repetir o “problema com mulheres” enfrentado pelo ex-presidente Jair Bolsonaro (PL) quando disputou a reeleição, em 2022. O dirigente, no entanto, rejeitou por treze vezes o nome de Michelle para a vice de Flávio e por duas vezes disse que é “muito difícil”, ao ser questionado pela imprensa depois do evento.



“Não, não tem, não tem, não. Não tem, quer dizer, é muito difícil, é muito difícil”, disse, ao ser questionado sobre o nome de Michelle. Perguntado novamente, voltou a negar: “Não, não, não... Nem penso nisso, não me passa pela cabeça isso”. Questionado sobre as negativas em relação à ex-primeira-dama, reiterou: “Não, Michelle não, eu acho que não, porque ela já tem o mesmo nome. Tem que abrir para outros partidos.”



O presidente do PL disse que a senadora Tereza Cristina teria avisado a ele que não pretende disputar a eleição presidencial com Flávio. “A Tereza Cristina falou para mim na semana passada que não pretende ser vice e que ela tem um projeto para o Senado”, afirmou.



Valdemar disse não saber qual mulher poderia indicar para a chapa de Flávio, após ter descartado as indicações de Michelle e Tereza Cristina. “É difícil, tem que escolher, não sei”, afirmou. O dirigente criticou a escolha do general Braga Netto por Bolsonaro em 2022, na disputa pela reeleição, e afirmou que ",2026-03-30 00:00:00,https://valor.globo.com/politica/noticia/2026/03/30/valdemar-costa-neto-rejeita-michelle-como-vice-de-flvio-mas-defende-mulher-na-chapa-presidencial.ghtml,valoreconomico
Túlio Gadêlha anuncia saída da Rede para concorrer ao Senado,,"O deputado federal Túlio Gadêlha (PE) anunciou a sua saída da Rede Sustentabilidade. Ele vai se filiar nesta quinta-feira (2) ao Partido Social Democrático (PSD), de Gilberto Kassab, para pleitear uma vaga ao Senado na chapa da governadora Raquel Lyra (PSD). Segundo a legislação eleitoral, parlamentares têm até o dia 3 para mudar de partido sem perder o mandato.

",2026-04-02 00:00:00,https://valor.globo.com/politica/noticia/2026/04/02/tlio-gadlha-anuncia-sada-da-rede-para-concorrer-ao-senado.ghtml,valoreconomico
Leite cobra PSD mais ao centro e eleva pressão sobre Kassab,Governador do RS se colocou como independente e situou Caiado na direita; anúncio do candidato à Presidência será segunda ou terça,"Na reta final da escolha do presidenciável do PSD, o governador do Rio Grande do Sul, Eduardo Leite, cobrou que o partido dê preferência a um candidato com perfil de centro e defendeu seu nome para a vaga, durante encontro com o presidente nacional da legenda, Gilberto Kassab, na quarta-feira (25). O dirigente afirmou, após a reunião, que o anúncio do escolhido será entre segunda (30) e terça-feira (31).",2026-03-26 00:00:00,https://valor.globo.com/politica/noticia/2026/03/26/leite-cobra-psd-mais-ao-centro-e-eleva-pressao-sobre-kassab.ghtml,valoreconomico
"Senador ‘pensa que é Deus’, diz Lula","Na avaliação do chefe do Executivo, o governo pode ter dificuldades caso não tenha uma base forte na Casa","O presidente Luiz Inácio Lula da Silva afirmou na quarta-feira (1º) que um dos objetivos da campanha nas eleições de 2026 é formar maioria no Senado e disse que, por ter mandato de oito anos, um senador “pensa que é Deus”. Na avaliação do chefe do Executivo, o governo pode ter dificuldades caso não tenha uma base forte na Casa.",2026-04-02 00:00:00,https://valor.globo.com/politica/noticia/2026/04/02/senador-pensa-que-e-deus-diz-lula.ghtml,valoreconomico
Lula: Esforço do governo é para impedir guerra 'irresponsável' de chegar 'ao bolso do povo',,"Em meio ao aumento do preço de combustíveis por conta da guerra envolvendo Estados Unidos, Israel e Irã, o presidente Luiz Inácio Lula da Silva repetiu nesta quinta-feira (2) que o governo federal tem interesse em “recomprar” a Refinaria de Mataripe, na Bahia , que foi privatizada em 2021. Desde então, a Bahia é um dos poucos Estados em que a distribuição dos combustíveis não é responsabilidade da Petrobras .

“Nós estamos há algum tempo estudando a necessidade de recomprar a refinaria da Bahia para a Petrobras. Não é justo o que fizeram. A refinaria produz menos da metade do que deveria produzir. Nós precisamos da refinaria produzindo muito mais”, disse Lula em entrevista à TV Record da Bahia.



Sem entrar em detalhes de como essa “recompra” pode ser feita, Lula enumerou as ações que a União tem adotado para tentar minimizar o aumento do preço dos combustíveis, como a isenção do PIS/Cofins e a subvenção de R$ 0,32 já concedida pela União.



“Estamos fazendo todo o esforço possível para não permitir que a guerra irresponsável do Irã chegue ao bolso do povo que vai comprar alface, vai comprar feijão, vai comprar milho, vai comprar a comida do seu filho”, afirmou o presidente.



Lula disse que tanto a Polícia Federal quanto a Rodoviária vão investigar as distribuidoras que têm “roubando o povo”, aumentando os preços. “Tem muita gente ganhando dinheiro roubando o povo, porque não tinha o direito de ter aumentado o preço e está aumentando.”



Segundo o presidente, o governo vai fazer “todo o possível” para que os efeitos da guerra não chegue ao “prato de comida do brasileiro e muito menos ao tanque de combustível do caminhoneiro, que já tem dificuldade com seu frete”.",2026-04-02 00:00:00,https://valor.globo.com/politica/noticia/2026/04/02/lula-esforco-do-governo-e-para-impedir-guerra-irresponsavel-de-chegar-ao-bolso-do-povo.ghtml,valoreconomico
TRE-RJ faz recontagem de votos para deputado estadual após cassação de Bacellar,"Ex-presidente da Alerj foi condenado pelo TSE no esquema que ficou conhecido como caso Ceperj, que o ex-deputado e o ex-governador Cláudio Castro (PL) contrataram de forma ilícita cabos eleitorais","Bacellar foi condenado pelo Tribunal Superior Eleitoral ( TSE ) no esquema que ficou conhecido como caso Ceperj , que o ex-deputado e o ex-governador Cláudio Castro (PL) contrataram de forma ilícita cabos eleitorais em instituições de educação do Estado.

Os votos para o Legislativo, seja ele federal ou estadual, são proporcionais. Isto é, não pertencem à pessoa que foi eleita, mas sim à legenda do candidato. Isso obriga que, com a cassação de Bacellar, o TRE faça a recontagem de todos os votos válidos na eleição de 2022 para a Alerj e a redistribuição deles às siglas.

",2026-03-31 00:00:00,https://valor.globo.com/politica/noticia/2026/03/31/tre-rj-faz-recontagem-de-votos-para-deputado-estadual-aps-cassao-de-bacellar.ghtml,valoreconomico
"Indicadores, ações e notícias das empresas brasileiras","Veja indicadores, ações, valor de mercado, múltiplos e cotações das companhias abertas listadas na B3","Não perca tempo!

Acompanhe dados financeiros, notícias exclusivas, gráficos e indicadores de empresas da B3 - reunidos em um só lugar.",,https://valor.globo.com/empresas/valor-empresas-360/,valoreconomico
STF autoriza penduricalhos e adicional por tempo de serviço até 70% do teto,"Verbas indenizatórias faziam com que os contra-cheques de servidores ultrapassassem o teto do funcionalismo público de R$ 46,3 mil, formando os 'supersalários'","O Supremo Tribunal Federal (STF) estabeleceu nesta quarta-feira (25) uma série de regras para limitar o pagamento de verbas indenizatórias que ultrapassam o teto do funcionalismo público, os chamados penduricalhos. A decisão vale para membros do Judiciário e do Ministério Público e, na prática, permitirá que a soma de todas as vantagens poderá chegar a, no máximo, 70% do valor do teto do funcionalismo público, que hoje é de R$ 46,3 mil.

Na prática, o STF definiu quais verbas podem e quais não podem ser pagas a partir de agora, além de barrar a criação de novas parcelas por ato administrativo. A tese de julgamento foi proposta de modo conjunto pelos ministros Flávio Dino, Cristiano Zanin, Gilmar Mendes e Alexandre de Moraes, relatores de ações que tratam do tema. Eles foram acompanhados por unanimidade.

A regra de transição limita o pagamento dos penduricalhos a um teto correspondente a até 35% (R$ 16,2 mil) do salário dos integrantes da Corte, conhecido por ser o teto do funcionalismo público. Em contrapartida, os ministros afirmaram que há uma defasagem no subsídio pago. Por conta disso, instituíram uma parcela de valorização do tempo de antiguidade na carreira.

Esse adicional será aplicado para membros ativos e inativos. O aumento deverá ser de 5% a cada cinco anos, não podendo ultrapassar o teto de 35%. Assim, há uma parcela de servidores que podem passar a receber até R$ 78 mil por mês.

Por isso, a soma de todas as vantagens poderá chegar a até 70% do valor do teto (35% de verbas indenizatórias e 35% de adicional de antiguidade).

Ministros, no entanto, alegaram ao Valor que esse montante máximo será pago a um grupo pequeno: só chegará a esse valor quem já ganha o teto, tem 35 anos de carreira no funcionalismo público e recebe os penduricalhos que foram considerados legítimos pela Corte.

Também defenderam que o novo adicional tem o objetivo de recompor gradualmente os salários diante da perda inflacionária, o que funcionaria de forma semelhante ao adicional",2026-03-25 00:00:00,https://valor.globo.com/politica/noticia/2026/03/25/supremo-retoma-julgamento-de-aes-que-discutem-penduricalhos.ghtml,valoreconomico
