titulo,subtitulo,texto,data,url,portal
Observatório do Banco Central – Blogs – CartaCapital,"Formado por economistas da UFRJ, o Observatório do Banco Central analisa a economia suas relações fundamentais com a moeda e o sistema financeiro. Os textos são publicados sempre às segundas-feiras","Lei anti-ganância de Ciro é fórmula simplista para um fenômeno complexo

Sem negar a necessidade de avaliarmos os altos juros no Brasil, a inexistência de renda anula qualquer efeito de redução de juros

Por Andre de Melo Modenesi e Kleyton da Costa | 19.09.2022 16h34",,https://www.cartacapital.com.br/blogs/observatorio-banco-central/,cartacapital
Complô contra Messias expõe o cálculo de Alcolumbre para 2027; entenda – CartaCapital,"Sob o discurso público de neutralidade, o senador mede eleições, pressão sobre o STF e sua própria recondução à presidência da Casa Alta","A derrota de Jorge Messias no Senado, na quarta-feira 29, foi o resultado de uma articulação que começou antes da sabatina e se consolidou nos bastidores, com atuação direta de Davi Alcolumbre (União-AP) para formar uma maioria contrária ao advogado-geral da União. O movimento, segundo relatos de aliados e interlocutores, compõe um cálculo político mais amplo, que envolve o cenário eleitoral, a futura composição do Congresso Nacional e a própria relação entre os Poderes nos próximos anos.

O ponto de partida desse movimento está em uma relação desgastada com o Palácio do Planalto. Desde a abertura da vaga no STF, Alcolumbre defendia a indicação de Rodrigo Pacheco (PSB-MG). A escolha de Lula (PT) por Messias, sem alinhamento com o presidente do Senado, foi interpretada como um gesto de desprestígio. A reação não foi imediata nem explícita, mas se traduziu, ao longo das semanas, em resistência silenciosa e falta de engajamento na articulação.

Esse distanciamento ficou evidente em diferentes episódios. Um dos mais visíveis ocorreu na véspera da sabatina, em um encontro na residência do ministro Cristiano Zanin. O jantar, que reunia também Alexandre de Moraes e Pacheco, ganhou contornos políticos quando Messias apareceu de surpresa. A iniciativa foi interpretada por aliados de Alcolumbre como uma tentativa de constranger o senador a sinalizar apoio. O efeito foi inverso. O episódio reforçou a irritação e consolidou a decisão de manter distância da indicação.



Siga a Carta no Discover e receba as notícias que realmente importam. SEGUIR

Mesmo publicamente adotando um discurso de “neutralidade”, Alcolumbre trabalhou nos bastidores para influenciar o resultado. P rocurou senadores, estimulou votos contrários e teria chegado a antecipar o placar da derrota com precisão . A estratégia foi conduzida de forma discreta, sem exposição direta, o que dificultou a reação do governo até os momentos finais da votação.

Esse movimento, porém, não se limita ao atrito com Lula e pass",2026-04-30 15:03:04+00:00,https://www.cartacapital.com.br/politica/complo-contra-messias-expoe-o-calculo-de-alcolumbre-para-2027-entenda/,cartacapital
You searched for Eleições 2026 – CartaCapital,,"Eleições 2026: Helder Barbalho lidera a corrida pelo Senado no Pará

O governador não poderá disputar um novo mandato para chefiar o estado; nesse contexto, a Casa Alta surge como a principal opção

Por CartaCapital | 31.10.2025 08h07",,https://www.cartacapital.com.br/?s=Eleições%202026,cartacapital
Senado reconhece estágio como experiência profissional,"A proposta, aprovada nesta terça-feira 7, vai à sanção presidencial","O Senado aprovou nesta terça-feira 7 o Projeto de Lei 2762/2019 que determina que o estágio realizado pelo estudante será contado como experiência profissional.

A proposta, que altera a Lei de Estágio, de 2008, segue agora para sanção do presidente Luiz Inácio Lula da Silva.

Caberá ao poder público regulamentar as hipóteses em que o período de experiência profissional de estágio valerá para provas de concursos públicos.

O autor da proposta, deputado Flávio Nogueira (PT-PI), argumenta que a dificuldade de obtenção de emprego, especialmente dos jovens de 18 a 24 anos, é devido à falta de experiência profissional, e que o projeto vai preencher essa lacuna.

“O jovem não consegue trabalhar porque não teve um emprego anterior e não adquire experiência pelo fato de antes não ter trabalhado”, diz o deputado ao justificar a iniciativa.

A relatora da matéria, senadora Damares Alves (Republicanos-DF), também ressaltou o desafio da comprovação de experiência profissional para conseguir um emprego.

“O estágio, embora seja uma atividade educacional supervisionada, já ocorre no ambiente de trabalho, onde o estudante desempenha atividades profissionais, com vistas à sua preparação para o mercado de trabalho”, avalia.

Repouso

Ainda na sessão desta terça-feira, os senadores aprovaram o PL 1.732/2022, que permite dividir o repouso anual de 30 dias de médicos residentes e outros profissionais da saúde em partes menores, com um mínimo de 10 dias cada. O texto também segue para sanção presidencial.

Pelo projeto, médicos residentes e outros profissionais em programas de residência na área de saúde poderão dividir os 30 dias de repouso anual em períodos menores de, no mínimo, 10 dias, desde que o pedido seja feito pelo próprio residente e conforme regulamento.

A nova regra entra em vigor após 180 dias da publicação da lei.

Os senadores aprovaram ainda o projeto de resolução do Senado que cria a Frente Parlamentar Mista de Defesa dos Feirantes, com foco na articulação de política",2026-04-07 22:26:47+00:00,https://www.cartacapital.com.br/politica/senado-reconhece-estagio-como-experiencia-profissional/,cartacapital
STF recebe inquérito contra Nelson Tanure por ameaça e perseguição,O ministro André Mendonça avalia se mantém o caso na Corte,"O Supremo Tribunal Federal recebeu nesta semana um inquérito contra Nelson Tanure, investigado no caso do Banco Master, por perseguição e intimidação. Os autos foram remetidos à Corte pela 4ª Vara Criminal Federal de São Paulo a pedido da defesa de Vladimir Timerman.

O ministro André Mendonça ainda não decidiu se mantém o inquérito no Supremo — analisa, por exemplo, se há de fato conexões com as investigações do Caso Master.

Timerman alega que Tanure seria o dono oculto do banco e o acusa de utilizar informações sobre ações da empresa Alliar — da qual Tanure era dono — para obter vantagens indevidas no mercado financeiro.

O vínculo entre Daniel Vorcaro, ex-CEO do Master, e Tanure se explica pela administração, por parte do banco, de fundos de investimento vinculados aos negócios do empresário.

O inquérito foi aberto em 2024 pela PF em São Paulo, após Timerman acionar o Ministério Público por supostamente ser alvo de monitoramento em tempo real e assédio judicial por parte de Tanure e de pessoas próximas, devido a denúncias públicas que havia apresentado contra ele.",2026-04-01 15:40:38+00:00,https://www.cartacapital.com.br/justica/stf-recebe-inquerito-contra-nelson-tanure-por-ameaca-e-perseguicao/,cartacapital
ToqueTec – CartaCapital,"Parceria entre CartaCapital e ToqueTec oferece conteúdos que explicam, de forma simples, como a tecnologia melhora o dia a dia e torna inovações mais acessíveis para todos.","ToqueTec

Do palco à passarela, a moda entra em modo futuro

Peças que se movem, brilham, mudam de forma e incorporam impressão 3D revelam como a moda deixou de usar a tecnologia apenas como ferramenta e passou a transformá-la em linguagem estética, cultural e performática",,https://www.cartacapital.com.br/toquetec/?utm_source=cartacapital.com.br&utm_medium=menu,cartacapital
Câmara aprova urgência de projeto que permite o porte de arma para oficiais de Justiça,"O texto agora pode ser votado diretamente no plenário, sem passar antes pelas comissões","A Câmara dos Deputados aprovou, nesta quarta-feira 6, a urgência para um projeto que permite o porte de arma para oficiais de Justiça e fiscais agropecuários. Com a urgência, o texto pode ser votado diretamente no plenário, sem passar antes pelas comissões.

O projeto, de autoria da ex-deputada Edna Macedo (Republicanos), entende que os oficiais de Justiça “também se defrontam com situações de perigo que ameaçam cumprimento de sua atividade funcional, assim causando sérios prejuízos à eficiência do Poder Público na prestação à sociedade dos serviços que lhe são inerentes”.

O texto altera o Estatuto do Desarmamento, liberando o porte de arma para “integrantes do quadro efetivo dos agentes e guardas prisionais, os integrantes das escoltas de presos, as guardas portuárias e os oficiais de justiça”.",2026-05-06 21:40:30+00:00,https://www.cartacapital.com.br/politica/camara-aprova-urgencia-de-projeto-que-permite-o-porte-de-arma-para-oficiais-de-justica/,cartacapital
"Pesquisa testa Tarcísio contra Haddad, Alckmin, Tebet e França em SP; veja os percentuais",Levantamento mostra vantagem do atual governador contra possíveis candidatos apoiados pelo presidente Lula,"Uma pesquisa divulgada nesta segunda-feira 30 pelo jornal O Estado de S. Paulo, realizada pelo instituto AtlasIntel, mostra o atual governador de São Paulo, Tarcísio de Freitas (Republicanos), como o favorito do eleitorado paulista na disputa pela reeleição.

Foram testados quatro cenários de primeiro turno, considerando as diferentes possibilidades de candidaturas entre apoiadores do presidente Lula: os ministros Fernando Haddad (PT), Márcio França (PSB), Simone Tebet (PSB) e Geraldo Alckmin (PSB, também vice-presidente). Todos eles aparecem sempre na segunda posição.

Confira os percentuais:



Receba no Discover da CartaCapital as análises que realmente importam: política, economia e sociedade explicadas com profundidade SEGUIR

Cenário 1

Tarcísio de Freitas (Republicanos) – 49,1%

Fernando Haddad (PT) – 42,6%

Kim Kataguiri (Missão) – 5%

Paulo Serra (PSDB) – 1,2%

Branco/nulo – 1,5%

Não sei – 0,6%

Cenário 2

Tarcísio de Freitas (Republicanos) – 48,8%

Simone Tebet (PSB) – 41,8%

Kim Kataguiri (Missão) – 5%

Paulo Serra (PSDB) – 1,5%

Branco/nulo – 2,5%

Não sei – 0,5%

Cenário 3

Tarcísio de Freitas (Republicanos) – 49,4%

Márcio França (PSB) – 32,2%

Kim Kataguiri (Missão) – 5,3%

Paulo Serra (PSDB) – 2,1%

Branco/nulo – 9%

Não sei – 2%

Cenário 4

Tarcísio de Freitas (Republicanos) – 48,4%

Geraldo Alckmin (PSB) – 41,4%

Kim Kataguiri (Missão) – 5,3%

Paulo Serra (PSDB) – 1,5%

Branco/nulo – 2,2%

Não sei – 1,2%

O Estadão não apresentou simulações de segundo turno. A pesquisa contou com as respostas de 2.254 eleitores paulistas a questionários digitais entre os dias 24 e 27 de março. A margem de erro é de 2,2 pontos percentuais, para mais ou para menos. O protocolo de registro no Tribunal Superior Eleitoral (TSE) é SP-00899/2026.",2026-03-30 10:12:13+00:00,https://www.cartacapital.com.br/politica/pesquisa-testa-tarcisio-contra-haddad-alckmin-tebet-e-franca-em-sp-veja-os-percentuais/,cartacapital
StudioCarta,Sugestão de busca,"Menu   Por Gustavo Ribeiro, Presidente Da Associação Brasileira De Planos De Saúde (Abramge)
 Dados do primeiro trimestre de 2026 apontam quedas significativas em homicídios, roubos  e furtos em todo o estado 
 O Ceará forma quase metade dos aprovados no ITA e, a partir de 2027, vai receber o campus que deveria ter tido há muito tempo
 Programa garante apoio financeiro, amplia oportunidades e aproxima jovens do ensino médio de sonhos que antes pareciam distantes
 Crédito, produção e renda se articulam para retirar o País do Mapa da Fome e reconstruir a vida de quem planta Com trabalho, renda e proteção social, o Brasil reencontra caminhos que sustentam um futuro possível e mais estável Com trabalho, renda e proteção social renovados, o Brasil reencontra caminhos que sustentam um futuro possível e mais estável
 Por Gustavo Ribeiro, Presidente Da Associação Brasileira De Planos De Saúde (Abramge)
 Produtividade sustentável depende menos de intensidade contínua e mais da alternância entre o esforço e a recuperação
 Enquanto Recife abraça o “futuro”, Olinda aposta na tradição
 Os blocos do Rio de Janeiro projetam novos recordes
 Blocos espalhados por São Paulo reorganizam o espaço urbano, movimentam a economia e reforçam a presença do cuidado com a saúde ao longo da folia
 Empresa do Banco do Brasil e da Cielo alcança o maior resultado de sua série histórica, impulsionada pelo crescimento do crédito e do volume transacionado
 De 14 a 22 de fevereiro, a capital fluminense será tomada por desfiles, reunindo milhões de foliões.
 Recife e Olinda transformam ruas e ladeiras em palcos de cultura, música e tradição. Assine nossa newsletter e receba um boletim matinal exclusivo 

Desenvolvido por OKN Technology Agency
",,https://www.cartacapital.com.br/studiocarta/,cartacapital
"As intenções de voto de Lula e Flávio Bolsonaro no Paraná, segundo nova pesquisa Atlas",O instituto testou quatro cenários de segundo turno. A margem de erro é de três pontos percentuais,"O senador Flávio Bolsonaro (PL) lidera as intenções de voto para presidente da República entre eleitores do Paraná, segundo uma pesquisa AtlasIntel divulgada nesta quinta-feira 2. O filho de Jair Bolsonaro (PL) aparece 19 pontos à frente do presidente Lula (PT) na simulação de primeiro turno.

Na projeção de segundo turno, a vantagem de Flávio sobre Lula chega a 21 pontos.

O instituto entrevistou 1.254 eleitores do estado, pela internet, via Recrutamento Digital Aleatório, entre 25 e 30 de março. A margem de erro é de três pontos percentuais, com um nível de confiança de 95%. O registro no Tribunal Superior Eleitoral é PR-00105/2026.



Receba no Discover da CartaCapital as análises que realmente importam: política, economia e sociedade explicadas com profundidade SEGUIR

Confira as intenções de voto no primeiro turno:

Flávio Bolsonaro (PL): 52%

Lula (PT): 33,5%

Romeu Zema (Novo): 4,8%

Renan Santos (Missão): 3%

Ronaldo Caiado (PSD): 1,4%

Voto branco/nulo: 4,2%

Não sei: 0,9%

Veja os resultados das projeções de segundo turno:

Cenário 1:

Flávio Bolsonaro (PL): 55,6%

Lula (PT): 34,6%

Branco/nulo/não sei: 9,8%

Cenário 2:

Jair Bolsonaro (PL, inelegível e preso ): 55,1%

): 55,1% Lula (PT): 34,7%

Branco/nulo/não sei: 10,2%

Cenário 3:

Ronaldo Caiado (PSD): 48,9%

Lula (PT): 34,2%

Branco/nulo/não sei: 16,9%

Cenário 4:",2026-04-02 17:00:44+00:00,https://www.cartacapital.com.br/politica/as-intencoes-de-voto-de-lula-e-flavio-bolsonaro-no-parana-segundo-nova-pesquisa-atlas/,cartacapital
