titulo,subtitulo,texto,data,url,portal
TV Brasil de Fato,,"Todos os conteúdos de produção exclusiva e de autoria editorial do Brasil de Fato podem ser reproduzidos, desde que não sejam alterados e que se deem os devidos créditos.",,https://www.brasildefato.com.br/tv-brasil-de-fato/,brasildefato
Programação - Rádio Brasil de Fato,,"Todos os conteúdos de produção exclusiva e de autoria editorial do Brasil de Fato podem ser reproduzidos, desde que não sejam alterados e que se deem os devidos créditos.",,https://www.brasildefato.com.br/radioagencia/programacao/,brasildefato
O que está acontecendo na Venezuela,"A Venezuela é um dos principais palcos de tensões da América Latina e, há anos, é alvo de sanções impostas pelos EUA e pela Europa, que constituem um bloqueio.","A Venezuela é um dos principais palcos de tensões da América Latina e, há anos, é alvo de sanções impostas pelos EUA e pela Europa, que constituem um bloqueio. O Brasil de Fato acompanha os principais acontecimentos direto de Caracas.",2020-11-05 14:33:57+00:00,https://www.brasildefato.com.br/correspondente/venezuela/,brasildefato
Brasil de Fato,,,,https://www.brasildefato.com.br/feed/,brasildefato
O que está acontecendo no Sahel,"Há décadas, os países da região africana do Sahel são alvos do colonialismo e exploração de potências da Europa. Recentemente, essas nações passaram por…","Há décadas, os países da região africana do Sahel são alvos do colonialismo e exploração de potências da Europa. Recentemente, essas nações passaram por levantes civis e militares que buscam romper com a interferência europeia e criar novos caminhos de desenvolvimento. O Brasil de Fato acompanha de perto os acontecimentos no Sahel.",2024-12-30 12:21:25+00:00,https://www.brasildefato.com.br/correspondente/sahel/,brasildefato
ECA Digital começa a valer nesta terça; confira principais pontos,"A Lei do Estatuto Digital da Criança e do Adolescente (ECA Digital) n° 15.211/2025, começa a valer no Brasil nesta terça-feira (17). A legislação é voltada à…","A Lei do Estatuto Digital da Criança e do Adolescente (ECA Digital) n° 15.211/2025, começa a valer no Brasil nesta terça-feira (17). A legislação é voltada à proteção de crianças e adolescentes no ambiente digital, como redes sociais, jogos eletrônicos, serviços de vídeo e lojas virtuais de produtos e serviços voltados a este público ou que podem ser acessados por ele.

Sancionada em setembro do ano passado, a nova legislação não substitui o Estatuto da Criança e do Adolescente (ECA), de 1990, mas estabelece diretrizes mais rigorosas sobre os direitos do público infanto-juvenil, para garantir que a proteção prevista no mundo físico ocorra também no digital.

Pesquisadoras de entidades ligadas ao direito da infância, ouvidas pela Agência Brasil, qualificaram a nova lei como “histórica” e de “vanguarda” para o país.

A especialista em proteção digital de crianças e adolescentes, Águeda Barreto, que atua na coordenação da organização não governamental (ONG) ChildFund Brasil, considera que o país saiu na frente ao aprovar uma lei para subsidiar políticas públicas que preveem integração entre setores.

Águeda cita iniciativas para proteger a infância de outros países, como a Austrália que proibiu o uso de redes sociais por menores de 16 anos.

“Nós acompanhamos que esse é um movimento global, mas essa lei brasileira aprovada é bem ampla”.

Lei Felca

A aprovação do ECA Digital ocorreu após o influenciador Felipe Bressanim Pereira, conhecido como Felca, publicar um vídeo, em agosto do ano passado, no qual denunciou perfis em redes sociais que usavam crianças e adolescentes para promover a sexualização de menores de 18 anos.

O vídeo de uma hora de duração alerta para os riscos de expor conteúdos impróprios para o público infanto-juvenil nas redes sociais e como os influenciadores lucravam com isso. Informalmente, o ECA Digital tem sido chamado também de Lei Felca.

A lei 15.211/2025 proíbe a monetização ou impulsionamento de qualquer conteúdo que retrate menores de forma ",2026-03-17 00:00:00,https://www.brasildefato.com.br/2026/03/17/eca-digital-comeca-a-valer-nesta-terca-confira-principais-pontos/,brasildefato
Itamaraty confirma revogação de visto de assessor de Trump,O Ministério das Relações Exteriores confirmou nesta sexta-feira (13) a revogação do visto do assessor do governo do presidente Donald Trump Darren Beattie.,"O Ministério das Relações Exteriores confirmou nesta sexta-feira (13) a revogação do visto do assessor do governo do presidente Donald Trump Darren Beattie. Ele pretendia visitar o Brasil na próxima semana.

Segundo a pasta, a decisão foi tomada “tendo em conta a omissão e o falseamento de informações relevantes quanto ao motivo da visita por ocasião da solicitação do visto, em Washington”.

“Trata-se de princípio legal suficiente para a denegação de visto, de acordo com a legislação nacional e internacional”, informou a assessoria.

Mais cedo, durante agenda no Rio de Janeiro, o presidente Luiz Inácio Lula da Silva disse que Darren Beattie só entrará no Brasil quando o ministro da Saúde, Alexandre Padilha, puder entrar nos Estados Unidos.

“Aquele cara americano que disse que vinha pra cá, para visitar Jair Bolsonaro, foi proibido de visitar. E eu o proibi de vir ao Brasil enquanto não liberar os vistos do meu ministro da Saúde, que estão bloqueados.”

Lula lembrou que, em 2025, os Estados Unidos cancelaram o visto da esposa e da filha de 10 anos de Padilha. À época, o visto do ministro estava vencido e, portanto, não passível de cancelamento.

“Padilha, esteja certo que você está sendo protegido”, completou Lula.

Visita negada

Na quinta-feira (14), o ministro do Supremo Tribunal Federal (STF) Alexandre de Moraes negou o pedido do ex-presidente Jair Bolsonaro para receber a visita de Darren Beattie.

Na decisão, Moraes disse que a visita do assessor do presidente Donald Trump não foi comunicada à diplomacia brasileira e não está inserida na agenda oficial que será cumprida no Brasil.

“Ingerência”

Mais cedo, o ministro das Relações Exteriores, Mauro Vieira, informou a Moraes que a visita a Bolsonaro poderia configurar “indevida ingerência” em assuntos internos do Brasil.

A declaração consta em ofício enviado pelo chanceler brasileiro ao ministro do Supremo.

“A visita de um funcionário de Estado estrangeiro a um ex-presidente da República em ano eleitoral pode ",2026-03-13 00:00:00,https://www.brasildefato.com.br/2026/03/13/itamaraty-confirma-revogacao-de-visto-de-assessor-de-trump/,brasildefato
"Na reta final, 30% ainda não enviaram declaração do Imposto de Renda","A seis dias do fim do prazo, 30,2% dos contribuintes ainda não acertaram as contas com o Leão. Até às 17h57 de sábado (23), a Receita Federal recebeu 30.694.236…","A seis dias do fim do prazo, 30,2% dos contribuintes ainda não acertaram as contas com o Leão. Até às 17h57 de sábado (23), a Receita Federal recebeu 30.694.236 Declarações do Imposto de Renda Pessoa Física 2026 (ano-base 2025).

O número equivale a 69,8% do total de declarações previstas para este ano. Em 2026, o Fisco espera receber 44 milhões de declarações. Tradicionalmente, o ritmo de entrega aumenta nas últimas semanas do prazo.

Segundo a Receita Federal, 62,3% das declarações entregues até agora terão direito a receber restituição, 20,9% terão que pagar Imposto de Renda e 16,8% não têm imposto a pagar nem a receber.

A maioria dos documentos foi preenchida a partir do programa de computador (77,2%), mas 15,8% dos contribuintes recorrem ao preenchimento on-line, que deixa o rascunho da declaração salvo nos computadores do Fisco (nuvem da Receita), e 7,1% declaram pelo aplicativo Meu Imposto de Renda para smartphones e tablets.

Um total de 59,4% dos contribuintes que entregaram o documento à Receita Federal usaram a declaração pré-preenchida, por meio da qual o declarante baixa uma versão preliminar do documento, bastando confirmar as informações ou retificar os dados. A opção de desconto simplificado representa 55,4% dos envios.

O prazo para entregar a declaração começou em 23 de março e termina às 23h59min59s de 29 de maio. O programa gerador da declaração está disponível desde 19 de março.

Quem não enviar a declaração no prazo pagará multa de R$ 165,74 ou 1% do imposto devido, prevalecendo o maior valor.

As pessoas físicas que receberam rendimentos tributáveis acima de R$ 35.584, assim como aquelas que obtiveram receita bruta da atividade rural acima de R$ 177.920, são obrigadas a declarar. As pessoas que receberam até dois salários mínimos mensais em 2025 estão dispensadas de fazer a declaração, salvo se se enquadrarem em outro critério de obrigatoriedade.",2026-05-24 00:00:00,https://www.brasildefato.com.br/2026/05/24/na-reta-final-30-ainda-nao-enviaram-declaracao-do-imposto-de-renda/,brasildefato
"Moraes envia à PGR pedido para investigar elo entre ‘Dark Horse’, Flávio e ofensiva internacional bolsonarista","O ministro Alexandre de Moraes, do STF, decidiu encaminhar, nesta terça-feira (26), à Procuradoria-Geral da República (PGR) o pedido apresentado pelo deputado…","O ministro Alexandre de Moraes, do STF, decidiu encaminhar, nesta terça-feira (26), à Procuradoria-Geral da República (PGR) o pedido apresentado pelo deputado Lindbergh Farias (PT-RJ) para ampliar o escopo do Inquérito 4.995, que investiga o deputado cassado e autoexilado nos EUA, Eduardo Bolsonaro (PL-SP).

Entre os principais pontos da petição está a apuração da “possível conexão” entre o financiamento do filme “Dark Horse”, negociações envolvendo o senador e pré-candidato à Presidência da República Flávio Bolsonaro (PL-RJ) e o banqueiro Daniel Vorcaro e a atuação internacional de Eduardo Bolsonaro na campanha por sanções contra autoridades brasileiras, restrições de vistos e tarifas contra setores produtivos nacionais. A peça também sustenta que essas ações teriam como objetivo pressionar por anistia aos envolvidos na trama golpista ligada ao ex-presidente Jair Bolsonaro.

Na decisão, Moraes determinou que a PGR se manifeste em até cinco dias sobre os novos fatos apresentados pelo parlamentar petista. O inquérito já apura a atuação de Eduardo Bolsonaro por supostos crimes de coação no curso do processo, obstrução de investigação e tentativa de abolição violenta do Estado Democrático de Direito.

Lindbergh argumenta que há indícios de ligação entre recursos associados ao projeto audiovisual “Dark Horse” e a ofensiva política conduzida por Eduardo Bolsonaro no exterior contra instituições brasileiras. Segundo o deputado, a movimentação envolveria desde articulações por sanções internacionais até campanhas para pressionar autoridades do Judiciário brasileiro e favorecer os interesses políticos do bolsonarismo.



Além da ampliação do objeto da investigação, o deputado do PT pede que o senador Flávio Bolsonaro (PL-RJ) seja incluído formalmente no escopo investigatório por suposta participação “na captação, cobrança, intermediação ou destinação de valores vinculados ao projeto Dark Horse”. A petição também solicita compartilhamento de provas relacionadas ao Banco Mast",2026-05-26 00:00:00,https://www.brasildefato.com.br/2026/05/26/moraes-envia-a-pgr-pedido-para-investigar-elo-entre-dark-horse-flavio-e-ofensiva-internacional-bolsonarista/,brasildefato
Pernambuco,,"Todos os conteúdos de produção exclusiva e de autoria editorial do Brasil de Fato podem ser reproduzidos, desde que não sejam alterados e que se deem os devidos créditos.",,https://www.brasildefato.com.br/pe/,brasildefato
