titulo,subtitulo,texto,data,url,portal
Jornal da Cidade Online,Um jornal consciente não abre mão do seu direito de crítica,"Newsletter

As principais notícias do dia no seu e-mail.",Data Indisponível,https://www.jornaldacidadeonline.com.br/,jornaldacidade
Jornal da Cidade Online,,"Nossas redes sociais

Inscreva-se no nosso canal

Telegram

Receba as notícias do dia no Telegram

Entrar no canal",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/,jornaldacidade
Moraes manda prender pessoa que está fora do Brasil,"O ministro Alexandre de Moraes autorizou a prisão do empresário Ricardo Magro, controlador do Grupo Refit, antiga Refinaria de Manguinhos, no âmbito da Operação Sem Refino, deflagrada nesta sexta-feir...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

O ministro Alexandre de Moraes autorizou a prisão do empresário Ricardo Magro, controlador do Grupo Refit, antiga Refinaria de Manguinhos, no âmbito da Operação Sem Refino, deflagrada nesta sexta-feira (15) pela Polícia Federal. A decisão também determinou o bloqueio de aproximadamente R$ 52 bilhões em ativos financeiros ligados ao conglomerado investigado.

Além do mandado de prisão, Ricardo Magro passou a integrar a Difusão Vermelha da Interpol, mecanismo internacional que permite a localização e captura de foragidos em 196 países.

Atualmente, o empresário reside em Miami, nos Estados Unidos, onde vive desde 2016.

Não é a primeira vez que Moraes manda prender uma pessoa que está fora do país. Ele já expediu mandados de prisão e pediu a inclusão na lista de difusão vermelha da Interpol de figuras como Alexandre Ramagem, a deputada federal Carla Zambelli, e os jornalistas Allan dos Santos e Oswaldo Eustáquio.

Além de Ricardo Magro, a operação também teve como alvos o ex-governador do Rio de Janeiro Cláudio Castro, alvo de buscas na Barra da Tijuca, e o desembargador afastado Guaraci Vianna, investigado por decisões consideradas favoráveis aos interesses da Refit no Tribunal de Justiça do Rio de Janeiro (TJRJ).

Acabam de surgir as primeiras camisetas de apoio ao pré-candidato à Presidência da República Flávio Bolsonaro. Não fique fora dessa! Seja um dos primeiros a estampar a luta pelo Brasil. Para adquirir, basta clicar no link abaixo:

https://www.conteudoconservador.com.br/collections/camisetas

Veja:",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83024/moraes-manda-prender-pessoa-que-esta-fora-do-brasil,jornaldacidade
Alfredo Gaspar lidera e segunda vaga para o senado em Alagoas terá “guerra” entre Renan e Arthur Lira,"Pesquisa recente
do Instituto TDL Pesquisa & Marketing mostra a corrida pelo Senado em
Alagoas para 2026. O levantamento foi registrado no TRE sob o número
AL-02759/2026.

Alfredo
Gaspar lidera com 35...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

Pesquisa recente do Instituto TDL Pesquisa & Marketing mostra a corrida pelo Senado em Alagoas para 2026. O levantamento foi registrado no TRE sob o número AL-02759/2026.

Alfredo Gaspar lidera com 35% das intenções de votos. Renan Calheiros e Arthur Lira aparecem empatados com 25%, enquanto os indecisos somam 34%.

Davi Davino Filho registra 15% e Ronaldo Lessa aparece com 14%. Já Eudócia Caldas tem 10%, enquanto brancos e nulos chegam a 13%.

Um segundo cenário, sem Alfredo Gaspar, aponta novo empate entre Renan e Lira com 32%, enquanto brancos e nulos somam 19% e Eudócia Caldas registra 12%.

Porém, a vaga de Alfredo Gaspar na disputa está garantida, já asseverou Valdemar Costa Neto. Portanto, Renan e Lira deverão travar uma verdadeira guerra pela segunda vaga.

Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao

SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83023/alfredo-gaspar-lidera-e-segunda-vaga-para-o-senado-em-alagoas-tera-guerra-entre-renan-e-arthur-lira,jornaldacidade
7 pontos essenciais que a campanha de Flávio precisa adotar,"Espero que a
cúpula da campanha de Flávio Bolsonaro se conscientize de alguns fatos, após
mais esse ataque sujo das esquerdas e de seus falsos
""""""""""""aliados""""""""""""
entre muitas aspas:

1- Flávio
não pr...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

Espero que a cúpula da campanha de Flávio Bolsonaro se conscientize de alguns fatos, após mais esse ataque sujo das esquerdas e de seus falsos """"""""""""aliados"""""""""""" entre muitas aspas:

1- Flávio não precisa dos votos de ninguém, Novo, Centrão, Caiado, Zema, etc. Os votos que o colocam em primeiro lugar nas pesquisas são provenientes do Jair, do Bolsonarismo raiz e do antipetismo.

2- São esses atores da 3ª via, do isentismo e do Centrão que precisarão procurá-lo para compor alianças e não Flávio quem precisa pedir favores à eles. Isso faz toda a diferença na negociação de alianças.

3- O expurgo de traíras não significa ""dividir a direita"". Pelo contrário, significa se livrar de um peso nocivo, que mais a frente o esfaqueará pelas costas. É necessário.

4- Flávio não precisa ""pagar pedágio"" para a agenda woke, seus eleitores têm repulsa a essa ideologia. Portanto precisa parar de dizer que ""gostaria de uma vice mulher"". Isso é mentalidade divisionista da esquerda. Para nós, seus eleitores, não importa se o vice é homem ou mulher, desde que seja honesto e competente. Além de não angariar votos da esquerda, que o despreza profundamente e nunca votará nele por ter vice mulher, demonstra fraqueza na luta pelos valores conservadores, correndo risco de perder eleitores. Os ""isentos"" e centristas não estão nem aí pra essas pautas sexistas, só pensam no mercado. Portanto esqueça essa manipulação do politicamente correto. Isso não agrega, pelo contrário subtrai.

5- Nesse momento Flávio precisa do trabalho em campo de prefeitos e vereadores, que são os verdadeiros soldados no front das batalhas, através de líderes comunitários, associações de bairros, conselhos e assembleias comunitárias. Para isso precisa compor com o Centrão, sem ceder na pauta de valores, nem vender a alma.

6- Evangélicos e líderes religiosos são muito bem vin",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83022/7-pontos-essenciais-que-a-campanha-de-flavio-precisa-adotar,jornaldacidade
Reviravolta na morte de empresário aponta que ele foi envenenado pela própria esposa e amante,"A morte do
empresário Pedro Rodrigues Alves, de 54 anos, proprietário de uma funerária em
Videira, no Meio-Oeste de Santa Catarina, ganhou novos desdobramentos após a
conclusão da investigação da Polí...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

A morte do empresário Pedro Rodrigues Alves, de 54 anos, proprietário de uma funerária em Videira, no Meio-Oeste de Santa Catarina, ganhou novos desdobramentos após a conclusão da investigação da Polícia Civil. Inicialmente tratada como uma morte suspeita, o caso revelou que o empresário foi vítima de envenenamento.

O inquérito foi finalizado pela Delegacia de Investigação Criminal de Videira. Conforme o delegado responsável pelo caso, Édipo Flamia Hellt, a esposa de Pedro e o suposto amante dela foram indiciados pelo crime e permanecem presos preventivamente como principais suspeitos.

Conforme a Polícia Civil, o empresário Pedro Rodrigues Alves foi internado em estado grave no Hospital Divino Salvador, em Videira, no dia 5 de fevereiro deste ano. Sem apresentar melhora mesmo após o tratamento médico, a equipe solicitou um exame toxicológico enquanto ele permanecia internado na UTI.

“O resultado do exame toxicológico foi divulgado no dia 13 de fevereiro, demonstrando intoxicação exógena por carbamato ou organofosforado”, detalhou o delegado Édipo Flamia Hellt. Pedro morreu dois dias depois, em 15 de fevereiro.

Após a confirmação da intoxicação, a Polícia Civil solicitou exame cadavérico e deu início às investigações. Com a quebra de sigilo de dados técnicos autorizada pela Justiça, os investigadores descobriram que a esposa do empresário mantinha um relacionamento extraconjugal havia mais de um ano.

Segundo o delegado, a investigação concluiu que a mulher e o suposto amante teriam agido juntos para planejar e executar a morte do empresário. As apurações apontam que, entre janeiro de 2026 e o período da internação, a esposa teria colocado metanol na cerveja consumida pela vítima, misturado soda cáustica nos medicamentos utilizados por Pedro e ainda administrado “chumbinho”, substância tóxica ilegalmente comercializad",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83021/reviravolta-na-morte-de-empresario-aponta-que-ele-foi-envenenado-pela-propria-esposa-e-amante,jornaldacidade
Datafolha divulga nova pesquisa e disputa acirrada apresenta resultado inusitado,"Levantamento
do Datafolha divulgado neste sábado (16) mostra que o Lula (PT) e o senador Flávio
Bolsonaro (PL) seguem empatados em eventual 2º turno da disputa pelo Planalto.
A pesquisa foi feita de 1...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

Levantamento do Datafolha divulgado neste sábado (16) mostra que o Lula (PT) e o senador Flávio Bolsonaro (PL) seguem empatados em eventual 2º turno da disputa pelo Planalto. A pesquisa foi feita de 12 a 13 de maio.

Na simulação feita pelo instituto, Flávio e Lula teriam 45% cada um em eventual 2ª rodada. Um inusitado empate numérico. Outros 9% dizem que votariam em “branco” ou “nulo” e 1% não soube responder.

O Datafolha realizou 2.004 entrevistas com a população brasileira de 16 anos ou mais, em todo o Brasil, em 139 municípios. A margem de erro máxima é de 2 pontos percentuais, para mais ou para menos, com nível de confiança de 95%. A pesquisa está registrada no TSE com o código BR-00290/2026. Custou R$ 307.641,60 e foi paga com recursos próprios.

Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao

SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83020/datafolha-divulga-nova-pesquisa-e-disputa-acirrada-apresenta-resultado-inusitado,jornaldacidade
"A esquerda não cometeria esse erro primário: “Que cheiro de fogo, amigo!”","Mil teorias
e narrativas, e eu só pensando numa coisa: POR QUE AGORA?

Por que não
soltar essa “bomba” após o registro da candidatura e a escolha do vice?

Por que não
aguardar até 20 dias antes da el...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

Mil teorias e narrativas, e eu só pensando numa coisa: POR QUE AGORA?

Por que não soltar essa “bomba” após o registro da candidatura e a escolha do vice?

Por que não aguardar até 20 dias antes da eleição, quando não há mais possibilidade de trocar candidatos e nomes nas urnas? Isso confundiria o eleitorado e acabaria com qualquer chance da direita eleger um dos seus. Não daria tempo para a direita se reagrupar!

A esquerda não cometeria esse erro primário...

A impressão que tenho é que quem fez isso tinha a intenção clara de apenas mexer as peças do próprio tabuleiro. E tinha pressa.

“Que cheiro de fogo, amigo!”

E o que era para ser uma “bomba atômica” pode se tornar um surpreendente “chá revelação”.",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83019/a-esquerda-nao-cometeria-esse-erro-primario-que-cheiro-de-fogo-amigo,jornaldacidade
Lula afirma “aqui nesse hospital não tem dinheiro do Vorcaro” e uma “bomba” repercute em seguida (veja o vídeo),"Tentando
fazer piada, Lula resolveu dizer em um discurso em Barretos (SP), durante visita
ao Hospital do Câncer, o seguinte:

""Nesse
hospital aqui não tem dinheiro do Vorcaro"".

Mais uma
vez, perdeu a...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

Tentando fazer piada, Lula resolveu dizer em um discurso em Barretos (SP), durante visita ao Hospital do Câncer, o seguinte:

""Nesse hospital aqui não tem dinheiro do Vorcaro"".

Mais uma vez, perdeu a oportunidade de ficar calado. Não demorou para repercutir a revelação de que a Biomm, empresa que tem o banqueiro Daniel Vorcaro como o principal acionista, fechou pelo menos R$ 303,65 milhões em contratos com o governo Lula (PT), apenas em 2025.

Lula é a piada...

Veja o vídeo:

Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao

SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83017/lula-afirma-aqui-nesse-hospital-nao-tem-dinheiro-do-vorcaro-e-uma-bomba-repercute-em-seguida-veja-o-video,jornaldacidade
Venda de Ivermectina dispara depois de declaração de Mel Gibson,"Um estudo
publicado na última terça-feira (12) na revista JAMA Network Open apontou
aumento expressivo nas prescrições de ivermectina nos Estados Unidos após
declarações do ator Mel Gibson que, em jan...","Um estudo publicado na última terça-feira (12) na revista JAMA Network Open apontou aumento expressivo nas prescrições de ivermectina nos Estados Unidos após declarações do ator Mel Gibson que, em janeiro do ano passado, afirmou que três amigos teriam se recuperado de cânceres em estágio avançado usando o fármaco.

O levantamento foi conduzido por pesquisadores da Universidade da Califórnia em Los Angeles (UCLA) e analisou dados de mais de 68 milhões de pacientes entre 18 e 90 anos atendidos em serviços ambulatoriais e emergenciais no país. Os pesquisadores compararam prescrições da combinação ivermectina-benzimidazol entre janeiro e julho de 2025 com o mesmo período do ano anterior.

Os resultados mostraram que, de forma geral, as prescrições desses medicamentos dobraram após a repercussão das declarações. Entre pacientes com câncer, o aumento foi ainda mais acentuado, ultrapassando 2,5 vezes os índices registrados anteriormente.

Apesar do crescimento, os autores alegam que não há evidências clínicas que comprovem segurança ou eficácia da ivermectina ou de medicamentos benzimidazólicos no tratamento do câncer em humanos. No entanto, é ressaltado que essas substâncias chegaram a apresentar atividade anticancerígena em estudos laboratoriais e em testes com animais.

No Brasil, a ivermectina é aprovada pela Agência Nacional de Vigilância Sanitária (Anvisa) apenas para tratamento de infecções parasitárias. Já o fenbendazol é destinado ao uso veterinário.

A repercussão em torno da ivermectina também remete à forte polarização registrada na pandemia de Covid-19. À época, o fármaco foi defendido por setores da sociedade e por parte da classe médica como uma alternativa terapêutica acessível, além de símbolo da autonomia profissional diante do que classificavam como resistência de autoridades e organismos internacionais ao chamado tratamento precoce.

Na ocasião, a controvérsia representava uma disputa sobre liberdade médica e direito de escolha do paciente. Defensores d",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83016/venda-de-ivermectina-dispara-depois-de-declaracao-de-mel-gibson,jornaldacidade
